season,player_id,player_name,team_name,team_short_name,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,sack
2004,112516,Stefan LeFors,Cardinals,LOU,86.3,68.3,351,66.8,66.5,2.8,-3.7,1.6,-3.7
2004,134662,Alex Smith,Utes,UTAH,84.5,75.8,480,73.4,63.5,16,-7.3,1.2,-7.3
2004,20847,Jason White,Sooners,OKLA,84.1,56.6,454,61.2,70.9,-6.2,-5.4,2.7,-6.1
2004,103392,Jason Campbell,Tigers,AUB,83.3,41.5,373,48.4,56.9,-3.9,-6.5,2,-6.7
2004,559838,Matt Jones,Razorbacks,ARK,81.7,35.9,383,43.6,24.4,27.5,-7.1,-0.7,-7.7
2004,113717,Marques Hagans,Cavaliers,UVA,79.5,32.7,370,40.6,33.6,17.5,-10.2,0.9,-11.4
2004,120511,Matt Leinart,Trojans,USC,77.7,37.5,508,48.6,59.3,1.9,-14.6,1.9,-14.6
2004,133795,Drew Stanton,Spartans,MSU,77.4,41.3,346,47.4,21.7,25.8,-2,1.9,-2
2004,144994,Aaron Rodgers,Golden Bears,CAL,75.1,29.5,422,42,49.5,6.4,-13.8,0.4,-14.2
2004,134244,Omar Jacobs,Falcons,BGSU,74.4,92.7,599,94.8,97.1,5.9,-5.8,-2.4,-5.8
2004,135107,Vince Young,Longhorns,TEX,74.3,31.6,458,45.3,13.3,39.6,-6.5,0.4,-7.9
2004,114338,Bruce Gradkowski,Rockets,TOL,68.7,70,528,73.6,78.1,2.8,-9.6,3.8,-11.2
2004,103592,David Greene,Bulldogs,UGA,68.6,18.8,367,31.9,42.7,-1.5,-9.1,0.5,-9.7
2004,138583,Reggie McNeal,Aggies,TA&M,67.9,18.7,544,36.5,41.4,7.6,-13.4,1.3,-13.8
2004,119358,Kyle Orton,Boilermakers,PUR,67.6,30.7,515,47.1,58.6,0.3,-12.4,3.4,-15.2
2004,115374,Jay Cutler,Commodores,VAN,67.2,19.7,385,32.6,34.1,10,-13.8,3.3,-14.9
2004,134778,Jared Zabransky,Broncos,BSU,66.8,28.7,502,45.3,54.9,7.8,-17.5,1.1,-18.2
2004,108523,Darian Durant,Tar Heels,UNC,65.5,8.5,415,25.8,36.4,0.9,-12,0.5,-12
2004,146526,Chris Leak,Gators,FLA,65.5,17.8,515,35.7,46.2,2.6,-11.7,-0.7,-12.3
2004,100104,Andrew Walter,Sun Devils,ASU,64.9,13.3,528,30.5,50.6,-3.1,-16.6,1.4,-18.6
2004,101204,Rasheed Marshall,Mountaineers,WVU,64,25.1,444,39.8,34.5,17.3,-11.2,-0.3,-11.6
2004,137200,Drew Olson,Bruins,UCLA,63.6,6.8,433,24.3,28.5,6.1,-11.3,0.9,-11.3
2004,103751,Danny Wimprine,Tigers,MEM,62.8,34.9,501,51.3,53.6,-0.8,-2.5,2.2,-3.6
2004,116190,Bryan Randall,Hokies,VT,61.2,1.6,496,21.9,23.9,22.5,-22.3,0.3,-24.9
2004,100223,Brock Berlin,Hurricanes,MIA,60.3,-3.9,429,14.6,34.2,-8.4,-8.4,-1.2,-10
2004,145596,Donovan Woods,Cowboys,OKST,59.5,-1.9,350,11.5,15,5.4,-6.8,-0.7,-8
2004,137215,Dylan Meier,Wildcats,KSU,58.8,-3.1,343,11.9,21.8,-5.8,-3.8,-0.2,-3.8
2004,150329,Brady Quinn,Fighting Irish,ND,58.7,-1,442,16.9,27.2,6.2,-16.8,1.1,-17.4
2004,122255,Derek Anderson,Beavers,ORST,58.5,-9.5,637,17.4,41.3,-3,-21.4,1.8,-22.7
2004,105182,Timmy Chang,Rainbow Warriors,HAW,57.8,42.1,689,60,63.3,5.7,-9,0.1,-9
2004,104785,Brandon Hassell,Horned Frogs,TCU,57.8,17.5,313,23.6,24.8,2.9,-5.5,1.6,-5.7
2004,107723,Marcus Randall,Tigers,LSU,57.6,-2.2,264,9.5,14.4,9,-11.5,-1.1,-12.9
2004,118210,Sonny Cumbie,Red Raiders,TTU,57.4,10.6,751,39.7,62.7,-6.4,-16.3,1.4,-18.2
2004,120702,Kellen Clemens,Ducks,ORE,56.7,-3.9,533,18.4,31.6,11.3,-20.7,-0.7,-23.7
2004,146009,Drew Tate,Hawkeyes,IOWA,56.7,-0.3,518,20.5,44.6,-0.8,-22.2,0.3,-23.6
2004,146251,Paul Peterson,Eagles,BC,56.6,20.9,462,39.3,49.9,-1.1,-10.9,2.2,-11.4
2004,116125,Dan Orlovsky,Huskies,CONN,56.6,28.2,525,40.3,46.3,0.8,-7.3,1.3,-8
2004,123483,Jon Beutjer,Fighting Illini,ILL,56.2,-2.1,223,7.2,7.8,0.5,-2.7,3,-3.9
2004,146835,Syvelle Newton,Gamecocks,SC,55.4,0.6,241,10.3,14.8,5.5,-9.2,-0.9,-9.2
2004,136814,Jordan Palmer,Miners,UTEP,54.7,14.9,447,30.5,39.1,-2,-10.8,5.6,-12.1
2004,120888,Paul Pinegar,Bulldogs,FRES,54.6,6.8,377,19.7,19.8,8.5,-9.4,0.7,-9.4
2004,116481,Justin Holland,Rams,CSU,54.4,1.2,231,9.4,13.7,0.1,-5.4,1.6,-5.9
2004,144289,Joel Klatt,Buffaloes,COLO,54.2,-14.7,454,6.3,21.9,-0.3,-12,-1.7,-13.6
2004,107836,Buck Pierce,Aggies,NMSU,53.9,23.7,420,36.1,48.1,2,-13.6,0.3,-14.8
2004,116199,Joshua Cribbs,Golden Flashes,KENT,53,33.6,538,48.5,33.7,34.4,-18.1,1.1,-20.7
2004,134032,Lester Ricard,Green Wave,TULN,51.6,13.5,292,22.8,32.6,-0.1,-8.3,0,-9.3
2004,133808,Bryan Cupito,Golden Gophers,MINN,50,-1.7,332,11.2,12.8,2.6,-3.7,-0.6,-3.7
2004,116993,Brett Basanez,Wildcats,NU,49,-7.7,600,18.7,20.4,2,-5.3,1.6,-5.3
2004,133653,Justin Zwick,Buckeyes,OSU,48.8,-8,249,3.6,8.6,0.5,-8,3.8,-9.4
