Team,№,GamesPlayed,Wins,OTW,SOW,SOL,OTL,Loses,Points,SOA,SO,GF,GA,PIM,PIMA,TkA,P.Intc,GvA,TIE,TIE/G,TIEN,TIEN/G
Lokomotiv,1,68,39,6,4,1,3,15,102,4,13,191,122,461,462,316,565,606,3509:17:00,51:36:00,23:02,00:20
Traktor,2,68,38,4,3,3,3,17,96,1,11,223,159,414,438,423,638,563,3543:18:00,52:06:00,43:56:00,00:39
Salavat Yulaev,3,68,33,6,6,1,2,20,93,2,8,212,159,562,608,301,608,546,3385:25:00,49:47:00,40:28:00,00:36
Metallurg Mg,4,68,30,7,6,2,2,21,90,5,6,197,154,360,485,305,595,568,3550:16:00,52:13:00,34:07:00,00:30
Dynamo Msk,5,68,37,2,3,3,2,21,89,5,6,204,167,544,559,243,525,611,3453:38:00,50:47:00,37:28:00,00:33
Avtomobilist,6,68,33,3,5,4,3,20,89,4,5,178,165,528,442,317,643,429,3455:49:00,50:49:00,36:56:00,00:33
Ak Bars,7,68,32,6,4,1,2,23,87,5,8,211,162,488,583,261,481,472,3461:43:00,50:54:00,34:04:00,00:30
Avangard,8,68,31,7,3,2,3,22,87,3,4,205,168,496,433,295,596,613,3484:31:00,51:15:00,31:02:00,00:27
Spartak,9,68,31,6,2,6,3,20,87,5,4,221,197,478,574,278,558,709,3459:16:00,50:52:00,30:06:00,00:27
Dinamo Mn,10,68,36,2,1,4,4,21,86,6,6,206,161,539,521,270,458,463,3385:01:00,49:47:00,28:12:00,00:25
CSKA,11,68,30,3,5,3,6,21,85,6,8,194,170,478,467,267,612,588,3463:05:00,50:56:00,22:23,00:20
Severstal,12,68,36,1,4,1,0,26,83,9,5,200,198,370,450,182,504,612,3487:57:00,51:18:00,37:17:00,00:33
SKA,13,68,28,7,3,2,4,24,82,4,5,236,205,523,500,210,541,631,3411:53:00,50:10:00,70:49:00,01:02
Torpedo,14,68,24,3,4,6,3,28,71,4,5,204,196,565,541,355,668,621,3377:38:00,49:40:00,41:53:00,00:37
Sibir,15,68,26,2,1,5,6,28,69,6,5,171,196,447,401,258,423,439,3533:13:00,51:58:00,34:24:00,00:30
Admiral,16,68,19,7,2,7,6,27,69,7,4,184,204,479,458,309,532,370,3516:10:00,51:43:00,24:20:00,00:21
Neftekhimik,17,68,20,2,3,7,10,26,67,5,2,159,200,504,539,316,505,527,3461:21:00,50:54:00,33:09:00,00:29
Kunlun RS,18,68,19,5,4,1,5,34,62,7,6,171,235,632,532,254,407,631,3443:06:00,50:38:00,26:39:00,00:24
Vityaz,19,68,19,3,2,4,7,33,59,5,7,163,188,478,534,309,865,913,3412:59:00,50:11:00,52:47:00,00:47
Lada,20,68,17,2,3,7,3,36,54,7,8,150,188,533,495,338,533,564,3467:52:00,51:00:00,29:59:00,00:26
HC Sochi,21,68,16,2,2,2,5,41,47,7,4,153,226,631,519,275,416,553,3376:48:00,49:40:00,28:08:00,00:25
Amur,22,68,11,3,4,2,6,42,44,11,3,150,235,500,511,291,493,560,3447:27:00,50:42:00,25:47:00,00:23
Barys,23,68,8,3,3,3,4,47,35,18,3,99,227,419,377,264,551,452,3563:55:00,52:25:00,27:43:00,00:24
