Team,Season,GamesPlayed,Wins,Loses,T,OT,Points,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,SO,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Winnipeg Jets,20242025,82,56,22,--,4,116,0.707,43,54,2,275,190,3.35,2.32,10,28.9,79.4,27.1,81.4,28.2,27.2,49.3
Washington Capitals,20242025,82,51,22,--,9,111,0.677,43,49,2,286,229,3.49,2.79,3,23.5,82,20.4,85.4,27.6,27.2,50.2
Vegas Golden Knights,20242025,82,50,22,--,10,110,0.671,46,49,1,274,214,3.34,2.61,6,28.3,75.7,26.7,79.3,30.3,26.1,50.4
Toronto Maple Leafs,20242025,82,52,26,--,4,108,0.659,41,51,1,267,229,3.26,2.79,5,24.8,77.9,21.6,80.4,28,29.3,53.7
Dallas Stars,20242025,82,50,26,--,6,106,0.646,41,48,2,275,222,3.35,2.71,4,22,82,20.4,85.5,28.4,29,52.1
Los Angeles Kings,20242025,82,48,25,--,9,105,0.64,43,47,1,249,203,3.04,2.48,6,17.9,81.4,15,83.1,28.1,25.5,50.6
Colorado Avalanche,20242025,82,49,29,--,4,102,0.622,40,45,4,273,231,3.33,2.82,5,24.8,79.8,21.8,82.2,29.9,25.9,47.1
Tampa Bay Lightning,20242025,82,47,27,--,8,102,0.622,41,45,2,292,216,3.56,2.63,7,25.9,81.6,20.3,86.9,28.5,28.2,50.1
Edmonton Oilers,20242025,82,48,29,--,5,101,0.616,36,48,0,259,235,3.16,2.87,4,23.7,78.2,21.9,80.6,32,27,50.9
Carolina Hurricanes,20242025,82,47,30,--,5,99,0.604,42,47,0,266,230,3.24,2.8,5,18.7,83.6,16.7,87.7,31.7,24.9,52.7
Florida Panthers,20242025,82,47,31,--,4,98,0.598,37,41,6,246,223,3,2.72,8,23.5,80.7,19.3,85.7,31.6,26.2,49.4
Ottawa Senators,20242025,82,45,30,--,7,97,0.591,35,44,1,242,232,2.95,2.83,10,23.8,77.7,22.7,81.7,29.3,28.6,53.1
Minnesota Wild,20242025,82,45,30,--,7,97,0.591,33,42,3,225,236,2.74,2.88,6,20.9,72.4,18.9,74.4,27.6,29.6,46.7
St. Louis Blues,20242025,82,44,30,--,8,96,0.585,32,40,4,250,231,3.05,2.82,4,22.1,74.2,19.5,76.3,26.7,27.3,51.6
Calgary Flames,20242025,82,41,27,--,14,96,0.585,31,36,5,220,236,2.68,2.88,5,21,76.1,18.5,79.2,29.4,28.9,46.2
New Jersey Devils,20242025,82,42,33,--,7,91,0.555,36,40,2,240,220,2.93,2.68,9,28.2,82.7,26.4,85.8,28.1,26.4,49.8
Montréal Canadiens,20242025,82,40,31,--,11,91,0.555,30,38,2,243,261,2.96,3.18,5,20.1,80.9,17.5,84.4,25.6,29,50.8
Vancouver Canucks,20242025,82,38,30,--,14,90,0.549,28,35,3,233,251,2.84,3.06,5,22.5,82.6,19.4,84.4,25.5,26.8,48.9
Columbus Blue Jackets,20242025,82,40,33,--,9,89,0.543,30,34,6,267,267,3.26,3.26,4,19.5,77,15.7,81.1,29,29.9,47.8
Utah Hockey Club,20242025,82,38,31,--,13,89,0.543,30,37,1,240,247,2.93,3.01,2,24.2,79.3,20.8,80.9,28.5,27.7,51.6
Detroit Red Wings,20242025,82,39,35,--,8,86,0.524,30,36,3,235,259,2.87,3.16,4,27,70.1,24.1,71.2,27.4,28.5,49
New York Rangers,20242025,82,39,36,--,7,85,0.518,35,38,1,255,255,3.11,3.11,9,17.6,80.3,14.3,87.9,28.6,29.9,53.6
New York Islanders,20242025,82,35,35,--,12,82,0.5,28,33,2,222,257,2.71,3.13,4,12.6,72.2,8.7,77.2,29.5,28.7,54.9
Anaheim Ducks,20242025,82,35,37,--,10,80,0.488,24,31,4,217,261,2.65,3.18,1,11.8,74.2,9,75.4,27.7,32.3,44.6
Pittsburgh Penguins,20242025,82,34,36,--,12,80,0.488,24,33,1,242,287,2.95,3.5,3,25.8,77.8,23.5,80.1,28.3,30.1,52.8
Buffalo Sabres,20242025,82,36,39,--,7,79,0.482,29,32,4,265,287,3.23,3.5,3,18.8,76.3,15.3,80.5,27.8,28.9,47.8
Seattle Kraken,20242025,82,35,41,--,6,76,0.463,28,33,2,245,262,2.99,3.2,2,18.9,77.2,17.2,78.8,27.4,28.6,48.6
Philadelphia Flyers,20242025,82,33,39,--,10,76,0.463,21,27,6,232,283,2.83,3.45,3,15,77.6,10.3,79.6,27,27,49.9
Boston Bruins,20242025,82,33,39,--,10,76,0.463,26,33,0,222,271,2.71,3.3,7,15.2,76.3,9.6,78.8,26.5,28.6,51.7
Nashville Predators,20242025,82,30,44,--,8,68,0.415,24,28,2,212,274,2.59,3.34,4,21.9,81.5,19.7,81.9,29.3,28.6,51.3
Chicago Blackhawks,20242025,82,25,46,--,11,61,0.372,20,23,2,224,292,2.73,3.56,0,24.9,79.3,21.2,81.9,24.5,31.1,44.8
San Jose Sharks,20242025,82,20,50,--,12,52,0.317,14,18,2,208,310,2.54,3.78,1,18.6,74.2,15,76.2,26.9,31.8,48.1
