Table 1,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1697,RUS,Tatiana SHURMISTROVA,9.05,1st Category Prize,International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
2,1219,GEO,NINO CHIKHLADZE,9.04,2nd Category Prize,International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
3,1206,FRA,NGUYEN Diana,9.03,2nd Category Prize,International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
4,1427,JPN,YOKO NAKATA,8.89,3rd Category Prize,International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
5,1343,ITA,Stefania GAVIANO,8.88,3rd Category Prize,International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
6,1039,AUS,Krista Brennan,8.87,3rd Category Prize,International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
7,1230,GER,Anke Zhang,8.86,"",International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
8,1597,POL,Anna Kubiak,8.85,"",International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
9,1153,CZE,Jana Neradova,8.81,"",International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei
10,1642,RSA,Tarina LUYT,8.80,"",International Women's Group C Traditional Chen Style Taijiquan,Taolu,Emei

Table 2,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1163,EGY,Hesham Nabil Abdelnabi Mohamed,9.15,1st Category Prize,International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
2,1167,EGY,Mohamed nagi Ali Mohamed,9.05,2nd Category Prize,International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
3,1604,ROU,Claudiu Mihaila,9.01,2nd Category Prize,International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
4,1480,MAC,LI SHAOYUE,9.00,3rd Category Prize,International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
5,1148,CZE,Jiri Hauska,8.99,3rd Category Prize,International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
6,1334,ITA,Gianluigi BISONI,8.98,3rd Category Prize,International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
7,1368,JPN,TOMOHIRO NAKATA,8.95,"",International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
8,1188,FRA,CONTOZ Eudes,8.91,"",International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
9,1818,USA,Cheng ZHANG,8.87,"",International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
10,1369,JPN,TSUTOMU KOBUKI,8.78,"",International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei
11,1224,GER,Marc Koesling,8.73,"",International Men's Group C Traditional Chen Style Taijiquan,Taolu,Emei

Table 3,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1430,JPN,YU NAKAGAWA,9.08,1st Category Prize,International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
2,1126,CAN,Yee Yat-Kwan,8.97,2nd Category Prize,International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
3,1940,USA,Ping WU,8.95,2nd Category Prize,International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
4,1685,RUS,Antonina IVANOVA,8.91,3rd Category Prize,International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
5,1635,RSA,Daniela CHRYSOSTOMOU,8.90,3rd Category Prize,International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
6,1398,JPN,MAMI HAYASAKI,8.89,3rd Category Prize,International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
7,1212,FRA,VIGNON Roxane,8.84,"",International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
8,1409,JPN,MINA KAMIYOSHI,8.81,"",International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
9,1278,HKG,LUK Cheung Fung Grendy,8.75,"",International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei
10,1393,JPN,KAGARI YAMAMOTO,8.68,"",International Women's Group D Traditional Chen Style Taijiquan,Taolu,Emei

Table 4,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1133,CHN,ZHU XIANGHUA,9.35,1st Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
2,1319,IRI,saeed atazadeh,9.11,1st Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
3,1032,AUS,Sherman Shu Hang Mak,9.10,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
4,1356,JPN,KOURIN JO,9.10,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
5,1370,JPN,YASUYOSHI KAMIYOSHI,9.09,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
6,1357,JPN,HITOSHI SHINAGAWA,9.08,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
7,1335,ITA,Giuseppe PATERNITI,9.05,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
8,1658,RUS,Eduard KURCHENKO,9.00,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
9,1657,RUS,Edgar TOBUKOV,9.00,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
10,1216,GEO,LASHA SUMBULASHVILI,8.99,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
11,1673,RUS,Vasily SAMSONOV,8.99,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
12,1239,HKG,LAW Wah Tak,8.99,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
13,1226,GER,Ruediger Gruetz,8.94,"",International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
14,1367,JPN,MITSUAKI HIGO,8.92,"",International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
15,1868,USA,Quang UONG,8.90,"",International Men's Group D Traditional Chen Style Taijiquan,Taolu,Emei
