Table 1,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,EGY,Youssef KHALIL,8.98,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
2,USA,Reid LINDSAY,8.97,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
3,USA,Nathan CHOU,8.82,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
4,MAS,Zi Hong WONG,8.81,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
5,USA,Michail Panchev TZANKOV,8.77,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
6,USA,Zhaokai HE,8.73,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
7,SRI,Chenura Supipun Dissanayake DISSANAYAKE MUDIYANSELAGE,8.60,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
8,IND,Omkar Rhushikesh MODAK,8.55,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
9,USA,Ethan ZHU,8.39,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"
10,USA,Luke TIAN,8.34,"",Men's Group C Taiji Jian (Including 42 Posture Taiji Jian),Taolu,"EMEISHAN, CHINA"

Table 2,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,SVK,Patrik HATALA,8.92,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
2,USA,Alex Mushan ZHANG,8.82,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
3,USA,Aspen SHEN,8.78,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
4,USA,Mason Tsan-ming BRAYTON,8.77,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
5,GER,Alexander TOROPOV,8.68,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
6,KAZ,Daniil ORAILO,8.66,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
7,USA,Luke ZHOU,8.64,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
8,ITA,Simone Gennaro MAIORANO,8.63,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
9,TJK,Saidqosim SAIDOLIMOV,8.61,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
10,USA,Justin SU,8.57,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
11,USA,Gavin ZHAO,8.51,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
12,USA,Robert CUNNINGHAM,8.50,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"
13,IND,Velayutham THARMAR,7.89,"",Men's Group C Jian (Straight Sword),Taolu,"EMEISHAN, CHINA"

Table 3,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,USA,Evan XU,8.99,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"
2,USA,Alec ZHANG,8.90,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"
3,POL,Maksymilian Grzegorz MURSZEWSKI,8.87,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"
4,USA,Ryan GALLAGHER,8.84,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"
5,USA,Jordan MEI,8.75,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"
6,USA,Zane ORT,8.74,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"
7,SGP,Neo Gao En NEO,8.73,"",Men's Group C Zui Jian (Drunken Sword),Taolu,"EMEISHAN, CHINA"

Table 4,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,USA,Bailey GONG,8.93,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
2,USA,Austin SHAW,8.86,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
3,IND,Yogakarthikeyan NARAYANAN,8.85,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
4,HUN,Roland Akos OLAH,8.80,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
5,MAS,Ye Jack LIM,8.77,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
6,GER,Jean Michel MERTEN,8.74,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
7,USA,Brandon TENG,8.73,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
8,ITA,Vittorio GELMI,8.72,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
9,MAS,Shun Jed LUI,8.70,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
10,USA,Jason CHEN,8.69,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
11,GRE,Ioannis POLYZOS,8.68,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
12,ITA,Simone RULLO,8.67,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
13,GRE,Alexandros TSOUKIAS,8.62,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
14,USA,Ashton WU,8.58,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
15,TPE,Yu Yu LIN,8.57,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
16,SRI,Deneth Sankalpa Ranthilaka CHINAGAHA KUBURE GEDARA,8.53,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
17,USA,Eric HOU,8.50,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
18,SRI,Senith Dilmith Yasanayaka WALPITA GAMAGE,8.48,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
19,SRI,Naveen Lakshan Madusanka HERATH JAYASUNDARALAGE,8.43,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
20,SRI,Yasintha Randunu Karunarathna GAMAGE MUDIYANSELAGE,8.40,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
21,CHI,Benjamin Ignacio HENRIQUEZ SERRANO,8.38,"",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
Default,TUN,Jihed BELLOUMI,"","",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"
Default,TJK,Salikhov Saddam,"","",Men's Group C Dao (Broadsword),Taolu,"EMEISHAN, CHINA"

Table 5,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,GEO,Saba GOGIA,8.65,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
2,GEO,Nikoloz NUTSUBIDZE,8.63,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
3,USA,Lucas TAM,8.59,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
4,USA,Marshall Tsan-wei BRAYTON,8.48,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
5,USA,Bryant WANG,8.47,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
6,USA,Elijah YU,8.44,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
7,USA,Kenny PHAN,8.36,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
8,USA,Jake MA,8.34,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
9,USA,Jonathan QIU,8.33,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
10,USA,Devin MINANO,8.32,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
11,GER,David KLEINSCHMIDT,8.31,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
