"","Athlete","Team","Score","Remark","Sex","Form","Group"
"1","DE ALMEIDA COSTA Cleu","BRA","8.85","1ST Prize","M","Cailifoquan (Choy Lay Fut)-","Group D"
"2","MASCHERPE CUELBAS Joao Pedro","BRA","8.82","2ND Prize","M","Cailifoquan (Choy Lay Fut)-","Group D"
"3","DA SILVA CAPELAZZO Anthony","BRA","8.8","3RD Prize","M","Cailifoquan (Choy Lay Fut)-","Group D"
"4","AZEVEDO Miguel Angelo","PRT","8.71","3RD Prize","M","Cailifoquan (Choy Lay Fut)-","Group D"
"5","GKOUMAS Anastasios","GRC","8.55","","M","Cailifoquan (Choy Lay Fut)-","Group D"
"6","YAP Wei Sheng Wilson","SGP","8.82","1ST Prize","M","Hongjiaquan (Hung Gar) -","Group D"
"7","NG Shao Chun","SGP","8.79","2ND Prize","M","Hongjiaquan (Hung Gar) -","Group D"
"8","NISIOTIS Nikolaos","GRC","8.77","2ND Prize","M","Hongjiaquan (Hung Gar) -","Group D"
"9","MA?NICKI Konrad","POL","8.64","3RD Prize","M","Hongjiaquan (Hung Gar) -","Group D"
"10","DAOUDI Moubarak","BEL","8.61","3RD Prize","M","Hongjiaquan (Hung Gar) -","Group D"
"11","TESTARDINI Matteo","ITA","8.6","","M","Hongjiaquan (Hung Gar) -","Group D"
"12","MIRATSKY Jakub","CZE","8.56","","M","Hongjiaquan (Hung Gar) -","Group D"
"13","ULLAH Mohammad Wahid","USA","8.5","","M","Hongjiaquan (Hung Gar) -","Group D"
"14","YANG Fuhua","CHN","9.05","1ST Prize","M","Yongchunquan (Wing Chun)-","Group D"
"15","CHARLES Sutanto","IDN","8.85","2ND Prize","M","Yongchunquan (Wing Chun)-","Group D"
"16","TABAROV Fotekh","TJK","8.75","2ND Prize","M","Yongchunquan (Wing Chun)-","Group D"
"17","NASR IBRAHIM Taw?k Mossad Salem","EGY","8.74","3RD Prize","M","Yongchunquan (Wing Chun)-","Group D"
"18","ESWAL Abhijeet","IND","8.65","3RD Prize","M","Yongchunquan (Wing Chun)-","Group D"
"19","KARWOWSKI Jakub","POL","8.65","3RD Prize","M","Yongchunquan (Wing Chun)-","Group D"
"20","SHAIK Aman Pasha","IND","8.63","","M","Yongchunquan (Wing Chun)-","Group D"
"21","PAW?OWICZ Mateusz Robert","POL","8.57","","M","Yongchunquan (Wing Chun)-","Group D"
"22","SZPOCZEK Micha? Krzysztof","POL","8.56","","M","Yongchunquan (Wing Chun)-","Group D"
"23","LOW Shun Quan Benette","SGP","9.02","1ST Prize","M","Other Nanquan Routines -","Group D"
"24","NGAN Lok Man","HKG","9.01","1ST Prize","M","Other Nanquan Routines -","Group D"
"25","CARELLA Nelso Cesar","ARG","8.92","1ST Prize","M","Other Nanquan Routines -","Group D"
"26","KAMA Muhammet Can","TUR","8.88","2ND Prize","M","Other Nanquan Routines -","Group D"
"27","FESCHENKO Daniil","UKR","8.84","2ND Prize","M","Other Nanquan Routines -","Group D"
"28","PHAM Nguyen Hoang Phuc","VNM","8.8","2ND Prize","M","Other Nanquan Routines -","Group D"
"29","KROETZ Benjamin Fritz Ludwig","DEU","8.79","2ND Prize","M","Other Nanquan Routines -","Group D"
"30","BILUT Tomasz","POL","8.79","2ND Prize","M","Other Nanquan Routines -","Group D"
"31","MAMEDOVI Rauli","GEO","8.77","3RD Prize","M","Other Nanquan Routines -","Group D"
