"","recoded_forms","Group A","Group B","Group C","Group D","Group E","Group F"
"1","bare-hand routines_Other routines ",7.33333333333333,8.316,8.39217391304348,8.81526315789474,8.65518518518519,8.3825
"2","Double-weapon routines ",7.61666666666667,8.453,8.46,8.67342857142857,8.54285714285714,8.50923076923077
"3","Fifth-type bare-hand routines_Shaolinquan ",7.23428571428571,8.32210526315789,8.37107142857143,8.63132075471698,8.58615384615385,8.53333333333333
"4","First-type bare-hand routines_Bajiquan ",7.35,8.36142857142857,8.466,8.70230769230769,8.49833333333333,8.53333333333333
"5","Fourth-type bare-hand routine_Chaquan ",7.348,8.38866666666667,8.459,8.78166666666667,8.49833333333333,8.53333333333333
"6","Nanquan-type routines_Cailifoquan (Choy Lay Fut) ",7.47833333333333,8.40533333333333,8.57,8.69888888888889,8.66666666666667,8.506
"7","Nanquan-type routines_Other routines ",7.555,8.40533333333333,8.52,8.60138888888889,8.58555555555555,8.53285714285714
"8","Other bare-hand routines_",7.41875,8.38714285714286,8.455,8.61153846153846,8.49833333333333,8.4575
"9","Single-weapon routines_ Taiji weapon ",7.48,8.38714285714286,8.455,8.6025,8.49833333333333,8.4575
"10","Single-weapon routines_Dao (Broadsword) ",7.39529411764706,8.41590909090909,8.4224,8.68459459459459,8.45,8.42666666666667
"11","Single-weapon routines_Gun (Cudgel/Staff)",7.2835,8.40533333333333,8.406,8.56307692307692,8.49166666666667,8.4575
"12","Single-weapon routines_Jian (Straight Sword) ",7.59,8.40357142857143,8.42142857142857,8.67342857142857,8.54058823529412,8.50923076923077
"13","Single-weapon routines_Other routines ",7.615,8.40357142857143,8.49166666666667,8.65916666666667,8.513,8.50923076923077
"14","Single-weapon routines_Pudao ",7.45,8.39846153846154,8.38142857142857,8.75857142857143,8.45,8.42666666666667
"15","Single-weapon routines_Taiji weapon ",7.37,8.44222222222222,8.455,8.70230769230769,8.49833333333333,8.4575
"16","Single/Soft-weapon routines_Others ",7.55,8.38714285714286,8.455,8.6025,8.57689655172414,8.506
"17","Taijiquan-type routines_Other routines ",7.41166666666667,8.35933333333333,8.48833333333333,8.69071428571429,8.43052631578947,8.48692307692308
"18","Third-type bare-hand routines ",7.38642857142857,8.39846153846154,8.47357142857143,8.63416666666667,8.54666666666667,8.53333333333333
"19","weapon -Other routines ",7.47875,8.38714285714286,8.455,8.6025,8.49833333333333,8.4575
"20","bare-hand routines -Other routines ",7.41875,8.28,8.455,8.62666666666667,8.50375,8.48692307692308
"21","Nanquan-type routines ",7.39529411764706,8.4424,8.46,8.68459459459459,8.50375,8.4575
"22","Second-type bare-hand routine ",7.47875,8.435,8.455,8.6025,8.50375,8.4575
"23","Single-weapon routines -Other routines ",7.47875,8.38714285714286,8.455,8.6025,8.49833333333333,8.4575
"24","Single-weapon routines_42-posture Taijijian ",7.39529411764706,8.43909090909091,8.51666666666667,8.62142857142857,8.63857142857143,8.451
"25","Single-weapon routines_Gun (Cudgel/Staff) ",7.47875,8.37857142857143,8.455,8.6025,8.49833333333333,8.4575
"26","Single-weapon routines_Pudao/Dadao ",7.41875,8.345,8.455,8.62666666666667,8.49833333333333,8.48692307692308
"27","Single-weapon routines_Qiang (Spear) ",7.39529411764706,8.50333333333333,8.455,8.62727272727273,8.63285714285714,8.53333333333333
"28","Taijiquan-type routines_42-posture Taijiquan ",7.33333333333333,8.38636363636364,8.48833333333333,8.588,8.5475,8.53333333333333
"29","weapon routines-Other routines ",7.47875,8.4725,8.455,8.6025,8.50375,8.4575
"30","Double-weapon routines_Other routines ",7.45,8.39846153846154,8.404375,8.51705882352941,8.49166666666667,8.4575
"31","Double-weapon routines_Shuangdao (Double Broadsword) ",7.45,8.39846153846154,8.452,8.63538461538462,8.49833333333333,8.4575
"32","Double-weapon routines_Shuangjian (Double Straight Sword) ",7.45,8.39846153846154,8.49166666666667,8.645,8.6025,8.506
"33","First-type bare-hand routines ",7.48,8.435,8.53428571428571,8.67428571428571,8.7425,8.506
"34","Flexible/Soft-weapon routines ",7.45,8.39846153846154,8.47666666666667,8.68428571428571,8.49833333333333,8.4575
"35","Flexible/Soft-weapon routines_Jiujiebian ",7.47875,8.38714285714286,8.455,8.6025,8.49833333333333,8.4575
"36","Nanquan-type routines_Hongjiaquan (Hung Gar)",7.47833333333333,8.40357142857143,8.525,8.67428571428571,8.72571428571429,8.506
"37","Nanquan-type routines_Yongchunquan (Wing Chun) ",7.45,8.39846153846154,8.41666666666667,8.61,8.54058823529412,8.4575
"38","Single-weapon routines -Taiji weapon ",7.47875,8.38714285714286,8.435,8.6025,8.49833333333333,8.4575
"39","Single-weapon routines_Guandao (Kwan Dao)",7.47875,8.38714285714286,8.62058823529412,8.87,8.72571428571429,8.506
"40","Single-weapon routines_Nandao (Southern Broadsword) ",7.45,8.39846153846154,8.53666666666667,8.922,8.72571428571429,8.506
"41","Single-weapon routines_Other Taijijian ",7.47833333333333,8.40533333333333,8.39285714285714,8.725,8.44285714285714,8.42666666666667
"42","Single-weapon routines_Taijishan ",7.555,8.40357142857143,8.49166666666667,8.67428571428571,8.565,8.506
"43","Taijiquan-type routines ",7.47875,8.38714285714286,8.47,8.84166666666667,8.49833333333333,8.4575
"44","Taijiquan-type routines_Other Taijiquan ",7.47875,8.38714285714286,8.4275,8.6025,8.483,8.42666666666667
"45","Third-type bare-hand routines _Other routines ",7.47875,8.38714285714286,8.29666666666667,8.61153846153846,8.54058823529412,8.4575
"46","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ",7.45,8.39846153846154,8.466,8.75375,8.49833333333333,8.4575
"47","Double-weapon routines_Shuangbishou (Double Daggers) ",7.47875,8.38714285714286,8.452,8.62666666666667,8.49833333333333,8.4575
"48","First-type bare-hand routines _Other routines ",7.47875,8.38714285714286,8.47666666666667,8.84166666666667,8.49833333333333,8.4575
"49","First-type bare-hand routines_Baguazhang ",7.47875,8.38714285714286,8.452,8.61153846153846,8.49833333333333,8.4575
"50","Flexible/Soft-weapon routines_Jiujiebian (Nine Section Whip Chain) ",7.47875,8.38714285714286,8.466,8.72222222222222,8.49833333333333,8.4575
"51","Flexible/Soft-weapon routines_Other routines ",7.555,8.40357142857143,8.52,8.62444444444444,8.6025,8.50923076923077
"52","Fourth-type bare-hand routine_Huaquan ",7.47875,8.38714285714286,8.47666666666667,8.832,8.49833333333333,8.4575
"53","Nanquan-type routines_Huquan ",7.47875,8.38714285714286,8.47666666666667,8.95571428571428,8.49833333333333,8.4575
"54","Second-type bare-hand routine_Fanziqua ",7.47875,8.38714285714286,8.47666666666667,8.87,8.49833333333333,8.4575
"55","Single-weapon routines_ Chen Style Taijijian ",7.555,8.40357142857143,8.52,8.71384615384615,8.56555555555556,8.50923076923077
"56","Single-weapon routines_ Other Taiji weapon ",7.555,8.40357142857143,8.49166666666667,8.40666666666667,8.51090909090909,8.53285714285714
"57","Single-weapon routines_Chen Style Taijijian ",7.555,8.40357142857143,8.4224,8.73857142857143,8.543,8.50923076923077
"58","Single-weapon routines_Nangun (Southern Staff/Cudgel) ",7.47875,8.38714285714286,8.47666666666667,8.780625,8.49833333333333,8.4575
"59","Single-weapon routines_Other taiji weapon ",7.47875,8.38714285714286,8.452,8.517,8.49833333333333,8.4575
"60","Single-weapon routines_Pudao/Guandao (Kwan Dao)",7.47875,8.38714285714286,8.452,8.6025,8.49833333333333,8.4575
"61","Single-weapon routines_Shanzi (Fan) ",7.47875,8.38714285714286,8.452,8.53818181818182,8.49833333333333,8.4575
"62","Taijiquan-type routines_Chen Style ",7.555,8.40357142857143,8.52,8.64857142857143,8.57689655172414,8.50923076923077
"63","Taijiquan-type routines_Yang Style ",7.47833333333333,8.38636363636364,8.48833333333333,8.63333333333333,8.45642857142857,8.41060606060606
"64","Third-type bare-hand routines_Drunken Fist ",7.47875,8.38714285714286,8.47666666666667,8.9,8.49833333333333,8.4575
"65","Third-type bare-hand routines_Other routines ",7.47875,8.38714285714286,8.47666666666667,9.045,8.49833333333333,8.4575
"66","Third-type bare-hand routines_Tanglangquan (Mantis Style) ",7.48,8.38714285714286,8.52,8.825,8.75166666666667,8.506
"67","Single-weapon routines_Guandao /Pudao ",7.48,8.435,8.455,8.71384615384615,8.49833333333333,8.4575
"68","Single-weapon routines_shanzi ",7.48,8.435,8.46,8.67342857142857,8.54666666666667,8.506
"69","Single-weapon routines_Taijidao ",7.48,8.435,8.455,8.71384615384615,8.444,8.41607142857143
"70","Single-weapon routines_Yang Style Taijijian ",7.48,8.435,8.49166666666667,8.63333333333333,8.483,8.41607142857143
"71","24-type Taijiquan ",7.47875,8.38714285714286,8.455,8.6025,8.483,8.4575
"72","bare-hand routines-Other routines ",7.47875,8.38714285714286,8.455,8.6025,8.51090909090909,8.58
"73","Single-weapon routines_32 Style Taijijian ",7.47875,8.38714285714286,8.455,8.6025,8.483,8.3625
"74","Single-weapon routines_Other Taiji weapon ",7.47875,8.38714285714286,8.455,8.6025,8.51090909090909,8.63
