"","sex","Form","Group","Team","Athlete","Score"
"1","M","First-type bare-hand routines_Bajiquan ","Group D","CHN","WU Hao",9.21
"2","M","First-type bare-hand routines_Bajiquan ","Group D","HKG","YEUNG Cheuk Yin",9.12
"3","M","First-type bare-hand routines_Bajiquan ","Group D","EGY","Moaz Mahmoud Fathy Sayed",9.06
"4","M","First-type bare-hand routines_Bajiquan ","Group D","FRA","Wilfried MAQUIN",8.93
"5","M","First-type bare-hand routines_Bajiquan ","Group D","HKG","YU Pui Lam",8.92
"6","M","First-type bare-hand routines_Bajiquan ","Group D","TUR","Yusuf Sadi ACAR",8.91
"7","M","First-type bare-hand routines_Bajiquan ","Group D","MEX","Carlos Omar SIERRA VILLAR",8.87
"8","M","First-type bare-hand routines_Bajiquan ","Group D","SGP","KALUARACHCHI Devin Tharunuwan",8.84
"9","M","First-type bare-hand routines_Bajiquan ","Group D","MAC","YUEN Kam Weng",8.8
"10","M","First-type bare-hand routines_Bajiquan ","Group D","MEX","Luis Arturo GONZALEZ MARMOLEJO",8.79
"11","M","First-type bare-hand routines_Bajiquan ","Group D","TJK","Fotekh TABAROV",8.78
"12","M","First-type bare-hand routines_Bajiquan ","Group D","FRA","Anthony PLAIS",8.74
"13","M","First-type bare-hand routines_Bajiquan ","Group D","IND","Amit KUMAR",8.66
"14","M","First-type bare-hand routines_Bajiquan ","Group D","USA","Daniel DOYLE",8.65
"15","M","First-type bare-hand routines_Bajiquan ","Group D","BEL","Jonathan VERHEYEN",8.64
"16","M","First-type bare-hand routines_Bajiquan ","Group D","AUS","Declan Joe UPPINGTON",8.62
"17","M","First-type bare-hand routines_Bajiquan ","Group D","USA","Mohammad ULLAH",8.59
"18","M","First-type bare-hand routines_Bajiquan ","Group D","MEX","Fitzgerald PARAGUAY URETA",8.1
"19","M","First-type bare-hand routines _Other routines ","Group D","CHN","QUMU Yiguo",9.23
"20","M","First-type bare-hand routines _Other routines ","Group D","ITA","Ivo ZEDDA",8.89
"21","M","First-type bare-hand routines _Other routines ","Group D","FRA","Virgile SICARD",8.8
"22","M","First-type bare-hand routines _Other routines ","Group D","GER","Kai JANSEN",8.78
"23","M","First-type bare-hand routines _Other routines ","Group D","IND","Rajat Prakash GUPTA",8.74
"24","M","First-type bare-hand routines _Other routines ","Group D","FRA","Anouchith MICHANHOM",8.61
"25","M","Second-type bare-hand routine_Fanziqua ","Group D","CHN","ZHANG Yongbiao",9.3
"26","M","Second-type bare-hand routine_Fanziqua ","Group D","ESP","Francisco GARCIA MAZUECOS",9.07
"27","M","Second-type bare-hand routine_Fanziqua ","Group D","JPN","ENOKAWA Oga",9.03
"28","M","Second-type bare-hand routine_Fanziqua ","Group D","GEO","David GULISASHVILI",8.95
"29","M","Second-type bare-hand routine_Fanziqua ","Group D","AIN","Dmitrii MININ",8.88
"30","M","Second-type bare-hand routine_Fanziqua ","Group D","AUS","David HONG",8.51
"31","M","Second-type bare-hand routine_Fanziqua ","Group D","AUS","Chun Tak Jaydon TSE",8.35
"32","M","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ","Group D","USA","Preston LAND",8.92
"33","M","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ","Group D","FRA","Alistair HAYOUN EGRETEAU",8.91
"34","M","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ","Group D","UKR","Bohdan NAIDA",8.85
"35","M","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ","Group D","ESP","Dan RIO RODRIGUEZ",8.83
