"Year","Dogs","Winner","Time"
2025,70,"Joey Chestnut",10
2024,58,"Patrick Bertoletti",10
2023,62,"Joey Chestnut",10
2022,63,"Joey Chestnut",10
2021,76,"Joey Chestnut",10
2020,75,"Joey Chestnut",10
2019,71,"Joey Chestnut",10
2018,74,"Joey Chestnut",10
2017,72,"Joey Chestnut",10
2016,70,"Joey Chestnut",10
2015,62,"Matt Stonie",10
2014,61,"Joey Chestnut",10
2013,69,"Joey Chestnut",10
2012,68,"Joey Chestnut",10
2011,62,"Joey Chestnut",10
2010,54,"Joey Chestnut",10
2009,68,"Joey Chestnut",10
2008,59,"Joey Chestnut",10
2007,66,"Joey Chestnut",12
2006,53.75,"Takeru Kobayashi",12
2005,49,"Takeru Kobayashi",12
2004,53.5,"Takeru Kobayashi",12
2003,44.5,"Takeru Kobayashi",12
2002,50.5,"Takeru Kobayashi",12
2001,50,"Takeru Kobayashi",12
2000,25.125,"Kazutoyo Arai",12
1999,21.5,"Steve Keiner",12
1998,19,"Hirofumi Nakajima",12
1997,24.5,"Hirofumi Nakajima",12
1996,22,"Ed Krachie",12
1995,19.5,"Ed Krachie",12
1994,20,"Mike DeVito",12
1993,17,"Mike DeVito",12
1992,19,"Frankie Dellarosa",12
1991,21,"Frankie Dellarosa",12
1990,15,"Mike DeVito Jay Green",12
1989,15.5,"Jay Green",12
1988,10,"Jay Green",12
1987,13.5,"Don Wolfman",10
1986,15.5,"Mark Heller",10
1985,11.75,"Oscar Rodriguez",12
1983,10.5,"Emil Gomez",10
1982,11,"Steven Abrams",10
1981,11,"Thomas DeBerry",5
1980,9.75,"Joe Baldini Paul Siederman",10
1979,10,"Luther Frazier",10
1978,10,"Manel Hollenback",6
1975,8,"Lonnie Brown",3
1974,10,"Roberto Muriel",3
1974,9,"John Connolly",2
1972,14,"Jason Schechter",3
