Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Date
Karen Marchetti,58.5,55-59,67.54,90,52.5,115,257.5,2,10/17/25
Robin Bernstein,57,55-59,77.7,77.5,47.5,105,230,3,2/1/25
Kathleen Carpenter,57,55-59,82.83,120,70,125,315,1,7/7/18
Edie Emerson,56.5,55-59,69.2,107.5,65,115,287.5,1,12/6/25
Dana Comer,56,55-59,91,70,45,90,205,1,2/8/25
Leah Cruciani,55,55-59,62.7,120,72.5,155,347.5,1,12/6/25
Gracyjony Nascimento,55.5,55-59,60.6,65,47.5,100,212.5,1,3/23/18
Beth Van Hove,55,55-59,82.99,90,55,117.5,262.5,1,9/1/18
Yanira Villatoro,56,55-59,81.6,80,32.5,115,227.5,1,9/7/24
Patricia Urban,57,55-59,61.7,65,42.5,107.5,215,1,7/14/18
Helen Petersburg,58,55-59,87.4,110,60,122.5,292.5,1,5/20/23
Lyubov Zhikhareva,56.5,55-59,74.95,50,40,90,180,1,5/4/07
Marjut Pukarinen,56.5,55-59,82.1,100,55,135,290,1,5/3/25
Carol Anthony,58.5,55-59,57.75,105,57.5,120,282.5,1,10/10/25
Lana Rud,56.5,55-59,71.08,70,42.5,105,217.5,1,11/19/22
Cynthia Hochstetler,55,55-59,67.44,85,65,125,275,1,7/16/10
Michelle Hinkley,58.5,55-59,51.4,65,40,90,195,7,11/6/21
Mary Ellen Kummerer,55.5,55-59,70.76,77.11,52.16,102.06,231.33,1,4/6/19
Wanda Bradbury,59,55-59,59.7,80,62.5,105,247.5,1,4/22/23
Sue Thomson,58.5,55-59,49.12,95,75,117.5,287.5,1,11/3/19
Pam Li,55,55-59,55.3,110.5,55,140,305.5,1,12/7/25
平部 和子,56,55-59,66.94,100,75,125,300,2,6/1/02
Chardonay Bromley,56,55-59,68.75,105,60,135,300,1,10/18/25
Anna María Ríkharðsdóttir,58.5,55-59,101.1,50,40,105,195,3,2/11/23
Julie Schneider,55.5,55-59,93.1,92.5,57.5,125,275,1,3/23/24
