Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date
Maria Goryniak,13.5,13-15,56.16,80,37.5,90,207.5,2,240.06,243.6,215.46,49.22,2025-06-20
Liberty Tasco,15,13-15,63.5,75,42.5,100,217.5,1,232.8,232.2,205.01,47.35,2022-09-24
Anna Buleyko,14.5,13-15,49,92.5,40,55,187.5,5,238.37,244.56,217.4,39.83,2010-05-28
Gabriela Martinez,13.5,13-15,89.1,105,45,130,280,1,250.74,242.96,211.39,51.74,2024-11-03
Sofiya Sadovnikova,14.5,13-15,56.6,80,40,112.5,232.5,2,267.61,271.28,239.91,54.83,2012-12-13
Elizaveta Bikineeva,14.5,13-15,70.1,80,40,110,230,6,232.4,228.59,201.49,47.24,2021-05-19
Lauren Boitel,15,13-15,72.8,95,45,110,250,1,247.41,242.24,213.3,50.34,2022-06-04
Kara Hunter,14,13-15,48.4,40,25,57.5,122.5,1,157.13,161.25,143.45,33,2026-02-14
Gina Rafael,14.5,13-15,61.3,80,45,100,225,2,246.1,246.74,217.94,50.12,2017-11-25
Emma Pollard,14,13-15,71.85,107.5,62.5,117.5,287.5,2,286.56,281,247.53,58.28,2024-02-24
Tatyana Bokhan,14.5,13-15,48.75,60,25,70,155,1,197.78,202.94,180.46,33.05,2002-04-19
Maddyson Ladner,14.5,13-15,90.5,115,50,120,285,2,253.46,245.7,213.45,43.59,2021-05-27
Alyona Zhurovkova,13.5,13-15,68.9,82.5,40,105,227.5,1,232.13,228.83,201.78,39.14,2012-04-27
Katherin Yohaima Hernandez Arias,14,13-15,43.3,47.63,20.41,56.7,124.74,2,173.95,177.51,159.52,37.69,2023-03-18
Sona George,15,13-15,105.8,135,60,145,340,2,284.09,278.87,237.8,59.78,2019-09-26
Anaya Davids,14.5,13-15,46.1,80,35,87.5,202.5,1,269.23,276.13,246.54,45.03,2018-03-22
Olivia Nelson,14.5,13-15,83.45,112.5,57.5,117.5,287.5,2,265.37,257.22,224.98,45.33,2024-03-02
Symphony Hass,14.5,13-15,61.3,57.5,37.5,90,185,5,202.35,202.87,179.2,41.21,2025-03-20
Keri Jamison,15,13-15,65.14,88.45,40.82,106.59,235.87,3,248.64,247.06,218.06,41.8,2008-03-15
Kristina Savostina,13.5,13-15,51,55,30,65,150,3,185.33,189.81,168.38,30.96,2017-10-27
Justina Marcias,13,13-15,67.5,62.5,35,65,162.5,1,167.76,165.85,146.3,34.09,2018-03-25
Neea Laaksonen,14.5,13-15,75.45,125,62.5,140,327.5,1,317.97,310.18,272.78,64.79,2020-10-10
Mariya Schedrina,14.5,13-15,56.16,87.5,45,100,232.5,4,268.99,272.95,241.42,44.99,2016-06-17
Guzel Alibaeva,14.5,13-15,58.9,50,32.5,70,152.5,2,171.05,172.48,152.44,34.92,2016-05-20
Talia Carvalho,13.5,13-15,74.3,117.5,47.5,120,285,1,278.97,272.54,239.82,56.8,2024-08-24
Christi Minnie,13.5,13-15,61.55,85,42.5,95,222.5,1,242.75,243.23,214.84,49.43,2024-04-04
Valentina Zabolotskaya,13.5,13-15,68,107.5,57.5,110,275,3,282.7,279.2,246.26,47.63,2018-03-30
Astrid Rawlinson,14.5,13-15,66.9,90,35,107.5,232.5,1,241.28,238.82,210.71,49.02,2025-12-06
Avery Newbury,14.5,13-15,62.23,104.33,56.7,127.01,288.03,1,312.12,312.24,275.75,63.52,2025-12-13
Giuliana Humphrey,14,13-15,51.5,85,50,100,235,1,288.38,295.15,261.72,59.84,2025-12-13
Emilia Farrell,14,13-15,75.4,55,27.5,85,167.5,1,162.68,158.71,139.58,33.15,2025-07-06
Aubree Wagnon,14.5,13-15,101.2,112.5,52.5,105,270,1,229.35,224.03,192.17,48,2025-09-13
森角 春陽,13.5,13-15,54.1,95,47.5,95,237.5,1,281.73,287.1,254.16,47.09,2017-05-28
Graycyn Smith,14.5,13-15,65.8,82.5,47.5,92.5,222.5,1,233.15,231.33,204.15,47.38,2025-04-26
Diana Akhmetova,14.5,13-15,42.15,55,32.5,60,147.5,4,210.05,213.54,192.56,45.95,2018-03-10
Ivanna Chacón Carrillo,14.5,13-15,52.6,60,25,85,170,1,205.57,210.05,186.12,42.51,2024-01-13
Hannah Mertz,14,13-15,51.5,75,45,90,210,1,257.7,263.75,233.88,53.47,2021-09-11
A. Abilentseva,14.5,13-15,42.5,55,40,80,175,3,247.6,252.04,227.02,41.53,2017-04-02
Elizabeth Phillips,14.5,13-15,51.15,115,65,112.5,292.5,3,360.66,369.3,327.57,60.26,2023-06-17
Anna Garlick,15,13-15,57.4,102.5,45,117.5,265,4,302.23,305.82,270.39,50.57,2011-03-26
Afton Evans,15,13-15,59.5,77.5,50,105,232.5,1,259.11,260.9,230.54,52.86,2025-10-18
A. Joshna,15,13-15,51.4,130,55,127.5,312.5,1,384,393.07,348.59,64.16,2021-03-17
Mariya Lavrenteva,14.5,13-15,50.8,75,25,87.5,187.5,3,232.31,237.98,211.15,38.81,2008-05-02
Riya Sharma,14.5,13-15,63.8,55,35,100,190,2,202.79,202.12,178.45,41.24,2011-12-16
Olesya Khrenova,14.5,13-15,56,60,37.5,67.5,165,2,191.25,194.14,171.72,31.99,2001-05-20
Ashleigh Trujillo,12.5,13-15,61.8,42.5,25,77.5,145,1,157.8,158.02,139.57,32.12,2016-05-07
Svitlana Kolesnikova,14.5,13-15,64.8,50,30,50,130,2,137.46,136.7,120.66,23.1,1997-03-15
Katy Oprita,13,13-15,76,102.5,57.5,107.5,267.5,1,258.73,252.22,221.75,52.74,2019-02-09
Isabella Rae,14.5,13-15,92.55,102.5,45,117.5,265,6,233.4,226.45,196.28,48.35,2025-03-20
Chiung-Yi Kao Huang,14.5,13-15,54.35,140,75,120,335,5,396.15,403.51,357.17,66.22,2018-09-03
Audhild Ruud,16.5,16-17,83.54,182.5,92.5,162.5,437.5,1,403.62,391.21,342.15,68.95,2015-02-21
Svetlana Savilova,15.5,16-17,56.62,77.5,47.5,92.5,217.5,2,250.28,253.71,224.37,51.28,2021-04-02
Katerina Kupaeva,17,16-17,62.63,125,65,125,315,1,340.01,339.81,300.08,69.18,2018-03-13
Maren Städter,16.5,16-17,81.9,90,45,140.5,275,1,256.14,248.44,217.57,43.69,2000-10-28
Diana Klimova,16.5,16-17,52,72.5,40,80,192.5,7,234.64,239.98,212.72,48.61,2018-05-25
Anzhelika Efimkina,15.5,16-17,47.8,45,30,60,135,5,174.74,179.35,159.68,29.21,2016-12-03
Isha Jangra,16,16-17,56.4,90,55,110,255,5,294.19,298.36,263.88,60.29,2025-05-20
Anastasiya Tolshchinova,15.5,16-17,45.5,65,30,70,165,3,221.54,227.07,202.98,37.07,2015-05-09
Kseniya Lapaeva,16.5,16-17,63,72.5,40,100,212.5,3,228.55,228.22,201.52,46.49,2017-04-12
Monica Boeckman,15.5,16-17,69.7,127.5,67.5,127.5,322.5,2,326.92,321.79,283.68,55.15,2006-03-31
Carly Hoftiezer,17,16-17,47.65,117.5,52.5,117.5,287.5,3,373,382.82,340.91,62.35,2010-03-26
Abbigail Crouchet,16.5,16-17,62.7,72.5,50,110,232.5,5,250.79,250.6,221.3,51.02,2017-03-09
Stanislava Orlik,15.5,16-17,58.7,92.5,32.5,95,220,6,247.3,249.49,220.5,41.41,2016-07-02
Payge Pagart,16.5,16-17,119.6,197.5,87.5,150,435,6,349.36,348.06,294.98,61.52,2016-04-01
Jayme Carlson,15.5,16-17,60.55,74.84,40.82,104.33,219.99,4,242.47,243.54,215.15,49.41,2017-02-25
Ekaterina Rylova,15.5,16-17,58,55,37.5,85,177.5,2,201.07,203.19,179.61,41.1,2014-04-24
Ella McFarlane,16,16-17,54.1,100,45,100,245,1,290.63,296.17,262.19,59.86,2019-08-10
Sadie Matkins,16,16-17,74.7,125,72.5,110,307.5,1,300.13,293.06,257.83,50.85,2023-04-01
Alina Ababurko,16.5,16-17,50.8,80,35,90,205,2,253.99,260.19,230.86,42.44,2017-12-16
Izabela Mieczkowska,16.5,16-17,54,65,30,80,175,5,207.85,211.85,187.56,42.82,2020-10-18
Elizaveta Zheltikova,17,16-17,43.1,80,42.5,100,222.5,1,311.39,317.58,285.55,67.58,2021-11-19
Elizaveta Kovalenko,16.5,16-17,70,85,60,107.5,252.5,10,255.34,251.2,221.43,51.9,2019-12-18
Gabriela Jasaňová,16.5,16-17,65.6,102.5,47.5,110,260,2,272.93,270.92,239.1,55.47,2025-04-05
Michaela Riehl,16,16-17,54.7,90,45,105,240,1,282.58,287.63,254.56,47.24,2004-10-29
Tatyana Spirina,16.5,16-17,51,70,40,87.5,197.5,10,244.02,249.92,221.71,50.72,2016-10-31
Sarah Vanderklis,15.5,16-17,50.8,82.5,37.5,85,205,5,253.99,260.19,230.86,42.44,2019-03-28
Darina Kelbus,16,16-17,57.9,95,52.5,105,252.5,3,286.35,289.43,255.86,58.54,2018-03-13
Renata Khamidullina,16.5,16-17,45.65,70,45,75,190,5,254.48,260.88,233.13,42.57,2017-04-10
Abigael Webber,16.5,16-17,59.17,70,47.5,105,222.5,25,248.84,250.76,221.6,50.79,2022-03-22
Grace Parquist,17,16-17,96.1,125,67.5,127.5,320,1,277.44,269.78,232.88,57.72,2021-06-11
Ayana White Nwankpa,17,16-17,60.75,150,75,196,421,2,463.07,464.88,410.68,94.35,2025-11-28
Valeriya Akhanova,16.5,16-17,56.65,115,40,110,265,2,304.84,308.99,273.25,50.99,2014-04-24
Malia Levy,16,16-17,114.4,167.5,55,132.5,355,2,288.92,286.38,243.31,61.38,2022-04-22
Ashley Sloan,16.5,16-17,60.9,110,65,147.5,322.5,1,354.18,355.44,313.99,72.16,2025-10-04
Taylor Pavlik,17,16-17,79,90,57.5,135,282.5,1,267.87,260.33,228.46,54.72,2024-01-20
Anastasiya Akimtseva,15.5,16-17,60.55,110,55,117.5,282.5,4,311.37,312.74,276.29,63.46,2015-12-22
Anzhelika Chizhova,16.5,16-17,62.9,90,47.5,85,222.5,3,239.53,239.24,211.26,48.73,2016-04-06
Marisa Ramos,16.5,16-17,63.2,117.5,47.5,125,290,2,311.3,310.7,274.34,63.32,2024-07-06
Piper Wojcik,15.5,16-17,65.95,77.5,42.5,112.5,232.5,7,243.3,241.32,212.96,49.44,2023-03-30
Laila Miarelli,17,16-17,58.5,92.5,55,117.5,265,1,298.54,301.32,266.33,60.98,2020-02-15
Polina Saveleva,15.5,16-17,51,80,32.5,80,192.5,7,237.85,243.59,216.09,49.44,2017-04-05
Alex Wood #2,17,16-17,58.8,92.5,52.5,115,260,1,291.95,294.46,260.24,59.61,2025-02-01
Madilyn Voight,15.5,16-17,54.75,70,37.5,92.5,200,5,235.34,239.52,211.97,48.4,2025-03-20
Daniya Tukhvatullina,15.5,16-17,56,70,57.5,107.5,235,1,272.39,276.5,244.58,55.87,2012-08-15
Paula Costa Perez,16.5,16-17,56.94,115,65,127.5,307.5,1,352.54,357.12,315.78,72.19,2024-07-20
Siri Yuhas,16.5,16-17,55.66,99.8,61.2,131.5,292.6,1,340.53,345.92,306.02,69.89,2023-01-21
Tiffany Walls,17,16-17,69.9,125,65,150,340,4,344.1,338.58,298.46,58.06,2005-04-01
Kaitlynn Naert,17,16-17,110.3,122.5,52.5,145,320,1,263.54,260.03,221.32,55.74,2019-03-09
Katalina Paniagua,15.5,16-17,107.6,62.5,32.5,82.5,177.5,1,147.43,145.02,123.54,31.09,2026-03-01
Steph Helm,16,16-17,52,87.5,40,117.5,245,1,298.63,305.43,270.73,61.86,2009-01-31
Ekaterina Gudovkina,17.5,18-19,82.05,137.5,80,135,352.5,2,328.03,318.15,278.59,55.96,2011-03-20
Nadia Sudolska,17.5,18-19,68.15,137.5,60,120,317.5,4,325.98,321.84,283.86,54.93,2022-08-27
Santana Ryan,18.5,18-19,49.4,60,45,112.5,217.5,2,274.89,281.97,250.53,57.49,2022-12-03
Hope Jepson,17.5,18-19,91.75,92.5,65,115,272.5,27,240.9,233.64,202.7,49.86,2020-03-07
Kirbee Taylor,18.5,18-19,85.96,167.5,97.5,125,390,2,355,343.91,300.13,60.79,2016-04-02
Chailyn Cundy-Priebe,18,18-19,55.9,87.5,47.5,95,230,3,266.91,271,239.72,54.76,2025-04-10
Ishika Lashkari,18.5,18-19,49.7,77.5,30,80,187.5,2,235.95,241.97,214.92,49.28,2024-08-02
Krystina Gabrish,18.5,18-19,64.8,100,67.5,125,292.5,15,309.29,307.56,271.49,62.87,2024-03-02
Darina Gaynutdinova,18.5,18-19,50.86,87.5,67.5,112.5,267.5,7,331.15,339.21,300.95,68.86,2021-12-03
Mackenzie Schmidt,18.5,18-19,61.51,95.25,45.36,104.33,244.94,2,267.34,267.9,236.63,54.44,2024-03-09
Alina Fetisova,17.5,18-19,82.5,90,55,125,270,1,250.6,242.99,212.7,42.77,2015-05-23
Alexandra Garvin,17.5,18-19,69.1,90,67.5,105,262.5,1,267.4,263.5,232.34,54.34,2023-12-16
Nikhita D N,17.5,18-19,77.56,127.5,47.5,130,305,8,291.92,284.08,249.54,59.57,2023-08-27
Keshar Kumari,17.5,18-19,46.9,80,42.5,107.5,230,3,301.9,309.8,276.21,63.89,2024-06-06
T. Stegel,19,18-19,63,81.65,43.09,108.86,233.6,3,251.24,250.88,221.53,42.17,1995-12-02
Viktoriya Kovalishina,17.5,18-19,55.7,77.5,40,97.5,215,3,250.1,254.04,224.73,41.82,1999-10-26
Tatiana Carmona Saldaña,17.5,18-19,72.48,95,60,125,280,1,277.76,272.09,239.62,56.5,2018-10-05
Melanie Hess,17.5,18-19,63.1,147.5,62.5,135,345,9,370.69,370.07,326.77,62.23,2017-03-29
Anna Doncheva,18,18-19,69,90,77.5,135,302.5,1,308.4,303.96,268.03,52,2025-04-11
Jennifer Beltran,19,18-19,59.6,95,40,100,235,1,261.61,263.36,232.71,53.37,2022-10-16
Victoria Propson,17.5,18-19,58.6,102.5,62.5,112.5,277.5,10,312.28,315.11,278.51,63.78,2023-03-04
Lily Poisso,17.5,18-19,129.7,195,122.5,202.5,520,2,409.12,410.11,346.15,72.39,2016-09-03
Anna Savchenko,18,18-19,65.66,125,80,120,325,3,340.98,338.43,298.67,69.3,2019-09-23
Das Tania,17.5,18-19,46.6,115,55,105,275,2,362.7,372.12,331.95,60.65,2008-05-04
Sophie Schmidtke,18.5,18-19,77.8,130,60,125,315,1,301.01,292.86,257.21,61.44,2024-03-02
Elizaveta Antonova,17.5,18-19,43.9,95,47.5,100,242.5,3,334.59,341.98,306.81,56.05,2009-06-17
Emma Olgers,19,18-19,74.1,140,77.5,165,382.5,1,374.94,366.41,322.45,76.34,2022-05-27
Polina Luchina,17.5,18-19,80,140,80,127.5,347.5,2,327.43,317.97,278.85,55.75,2017-10-27
Kendra Stuttgen,18,18-19,55.1,162.5,70,135,367.5,1,430.6,437.93,387.5,71.99,2012-03-23
Leksi Jo Martinez,18.5,18-19,78.05,162.5,97.5,170,430,6,410.24,399.03,350.4,69.72,2022-03-26
Darya Gudkova,17.5,18-19,56.2,125,70,137.5,332.5,5,384.5,390.13,345.06,64.31,2015-11-26
Izabella Goland,18.5,18-19,49.7,75,40,87.5,202.5,14,254.83,261.33,232.12,53.22,2020-03-07
Annika Ehmcke,17.5,18-19,110.9,112.5,55,132.5,300,1,246.62,243.51,207.2,52.2,2026-01-24
Mehza Memon,19,18-19,88.6,102.5,47.5,110,260,1,233.42,226.16,196.86,48.14,2015-06-06
Hannah Coleman,18.5,18-19,63.9,75,55,115,245,5,261.25,260.32,229.83,53.12,2018-08-26
Riley Schroeder,17.5,18-19,90.6,95,55,142.5,292.5,16,260.01,252.05,218.95,53.74,2018-03-22
Maya Toth,18.5,18-19,61.4,100,52.5,105,257.5,1,281.36,282.02,249.11,57.3,2019-01-27
Rand Aldujaili,19,18-19,62.1,105,55,117.5,277.5,1,301.1,301.3,266.1,61.28,2023-07-10
Isabella Schleuse,17.5,18-19,73.7,122.5,52.5,132.5,307.5,16,302.3,295.58,260.17,61.53,2025-03-20
Nuria Casas Jimenez,17.5,18-19,60.99,107.5,52.5,117.5,277.5,14,304.48,305.5,269.86,62.03,2023-06-30
Aleksandra Sergacheva,17.5,18-19,62.75,90,85,110,285,3,307.27,307,271.1,62.51,2019-12-19
Ise Kleuskens,17.5,18-19,83.05,132.5,62.5,127.5,322.5,1,298.37,289.25,253.07,61.18,2024-04-14
Alena Korchagina,18.5,18-19,72.95,65,45,80,190,2,187.82,183.85,161.88,31.77,2016-04-21
Erich Lei Mandac,19,18-19,58.6,80,37.5,110,227.5,1,256.01,258.34,228.33,52.29,2024-07-13
Alva Rørvig Kristiansen,18.5,18-19,75.66,182.5,100,175,457.5,1,443.54,432.56,380.37,75.22,2025-11-30
Beau Demmers,18.5,18-19,55.23,117.5,62.5,125,305,5,356.8,362.78,320.99,73.3,2025-11-29
Roxana Magori,17.5,18-19,55.9,100,75,90,265,7,307.53,312.24,276.2,51.43,2010-09-27
Emmalee Stone,17.5,18-19,82.83,131.54,77.11,117.93,326.59,11,302.53,293.31,256.68,51.65,2019-02-26
Alexandria Wood,18,18-19,59.6,102.5,50,130,282.5,4,314.49,316.59,279.75,64.16,2025-03-01
Ugonna Njoku,17.5,18-19,102.05,130,55,145,330,1,279.42,273.18,234.07,58.54,2026-03-01
Stine Müller,20.5,20-23,56.79,150,85,167.5,402.5,1,462.26,468.41,414.22,94.68,2025-09-20
Kirsten Garcia,23,20-23,80.3,125,50,155,330,1,310.36,301.33,264.2,63.48,2024-01-13
Danica Macan,22,20-23,76,120,77.5,145,342.5,2,331.27,322.93,283.92,67.53,2025-11-01
Jia-Huei Wang,23,20-23,56.3,142.5,82.5,152.5,377.5,2,436.03,442.31,391.2,89.38,2022-12-02
Mackenzie Pagan,22.5,20-23,72.25,120,65,160,345,2,342.83,335.96,295.9,69.74,2024-05-04
Shiho Kojima,21.5,20-23,56.4,105,55,120,280,2,323.03,327.62,289.75,66.21,2026-02-13
Tatyana Gordienko,19.5,20-23,56.4,70,45,110,225,1,259.58,263.26,232.83,43.42,2017-05-13
Abby Cooley,21.5,20-23,51.74,135,72.5,175,382.5,2,467.86,478.69,424.4,97,2025-08-25
Shae Patras,22.5,20-23,63.25,100,57,120,277,3,297.2,296.6,261.89,60.45,2020-12-19
Lorenza Anne Zanlorensi,22.5,20-23,68.75,115,50,130,295,3,301.37,297.18,262.07,61.24,2024-11-13
Valeria Goreeva,21.5,20-23,67.9,142.5,75,192.5,410,12,421.84,416.69,367.54,85.71,2021-12-03
Violeta Segado Moreno,19.5,20-23,81.11,92.5,52.5,125,270,3,252.68,245.19,214.86,51.72,2019-12-13
Klare Smith,20.5,20-23,63.55,100,47.5,112.5,260,1,278.16,277.4,244.92,56.57,2023-02-18
Mia Dear,20,20-23,78.4,130,80,140,350,1,333.15,323.95,284.4,68.03,2024-11-30
Stephanie Ramirez Juarez,21.5,20-23,72.85,145,55,160,360,1,356.13,348.66,307.01,72.46,2023-10-07
Qin Wei Lim,22,20-23,42.9,102.5,65.5,125,293,1,411.54,419.47,377.38,89.46,2025-07-06
Airi Sakaguchi,22.5,20-23,83.1,180.5,118.5,160,459,1,424.53,411.54,360.06,87.05,2026-02-13
Evgeniya Pugacheva,21.5,20-23,59.5,60,35,82.5,177.5,2,197.81,199.18,176.01,33.13,2006-01-07
Lilia Chales,19.5,20-23,56.02,107.5,47.5,132.5,287.5,2,333.17,338.18,299.13,68.33,2024-06-22
Sunil Sawant Sonal,22.5,20-23,54.45,110,60,102.5,272.5,2,321.84,327.75,290.1,53.8,2021-12-24
Lucrezia Pedroni,21.5,20-23,56.83,117.5,75,142.5,335,13,384.56,389.64,344.56,78.76,2025-09-13
Kristin Denny,20.5,20-23,54.3,120,65,125,310,1,366.81,373.66,330.76,75.51,2026-01-31
Y Phun,22,20-23,51.3,102.5,45,120,267.5,1,329.16,336.98,298.86,68.34,2019-02-23
Megan Schmid,22,20-23,89.5,145,67.5,170,382.5,1,341.85,331.28,288.1,70.57,2023-05-21
Nataleigh Hunter,22.5,20-23,62.09,200.5,107.5,210,518,2,562.1,562.5,496.78,114.41,2025-08-25
Setiowati Yuni,22.5,20-23,47.45,140,77.5,167.5,385,1,501.04,514.22,458.07,83.76,2007-05-02
Anastasiya Kravets,19.5,20-23,56.5,100,40,95,235,2,270.8,274.58,242.84,45.3,2016-03-08
Nela Smetaníková,22.5,20-23,62.7,95,40,115,250,20,269.66,269.46,237.95,54.86,2022-06-25
Aliya Baymukhametova,20.5,20-23,62.25,135,80,130,345,6,373.78,373.9,330.21,76.07,2021-05-19
Nicky Le,19.5,20-23,66.25,107.5,45,142.5,295,1,307.88,305.18,269.3,62.56,2015-01-31
Samantha Amorim,20.5,20-23,55.6,102.5,62.5,125,290,10,337.75,343.14,303.57,69.33,2016-10-13
Genesis Mead,21,20-23,60,121,57,134,312,1,345.87,347.84,307.34,70.52,2025-12-06
