Goal,Split,Rate,Time,Date,Sex,# 2k of season,ID
02:03:00,02:04:00,32,08:16:00,29-Jan,0,1,10207
02:00:00,01:59:00,36,07:57:00,12-Feb,0,2,10207
01:57:00,01:58:00,35,07:52:00,6-Mar,0,3,10207
01:57:00,01:57:00,35,07:49:00,17-Mar,0,4,10207
02:00:00,01:59:00,35,07:58:00,29-Jan,0,1,10459
01:58:00,01:59:00,35,07:56:00,12-Feb,0,2,10459
01:55:00,01:56:00,35,07:47:00,6-Mar,0,3,10459
01:55:00,01:54:00,35,07:39:00,17-Mar,0,4,10459
01:56:00,01:57:00,36,07:49:00,29-Jan,0,1,10875
01:55:00,01:57:00,36,07:48:00,12-Feb,0,2,10875
01:55:00,01:55:00,36,07:43:00,6-Mar,0,3,10875
01:54:00,01:54:00,36,07:38:00,17-Mar,0,4,10875
01:38:00,01:38:00,34,06:33:00,18-Mar,1,2,11334
01:37:00,01:36:00,34,06:27:00,16-Feb,1,1,11334
01:45:00,01:46:00,34,07:06:00,18-Mar,1,2,11507
01:47:00,01:47:00,35,07:09:00,16-Feb,1,1,11507
02:10:00,02:10:00,33,08:41:00,29-Jan,0,1,11935
02:10:00,02:07:00,35,08:30:00,12-Feb,0,2,11935
02:05:00,02:08:00,35,08:33:00,6-Mar,0,3,11935
02:07:00,02:11:00,34,08:47:00,17-Mar,0,4,11935
01:57:00,01:59:00,36,07:57:00,29-Jan,0,1,12357
01:57:00,02:01:00,34,08:04:00,12-Feb,0,2,12357
01:57:00,01:57:00,36,07:49:00,6-Mar,0,3,12357
01:56:00,01:56:00,36,07:45:00,17-Mar,0,4,12357
02:02:00,02:03:00,34,08:13:00,29-Jan,0,1,12641
02:00:00,02:00:00,35,08:02:00,12-Feb,0,2,12641
02:00:00,01:59:00,35,07:58:00,6-Mar,0,3,12641
01:58:00,01:59:00,35,07:56:00,17-Mar,0,4,12641
01:50:00,01:53:00,36,07:33:00,18-Mar,1,2,13384
01:55:00,01:55:00,36,07:40:00,16-Feb,1,1,13384
01:46:00,01:46:00,38,07:05:00,18-Mar,1,2,13414
01:48:00,01:47:00,36,07:10:00,16-Feb,1,1,13414
01:50:00,01:52:00,37,07:31:00,18-Mar,1,2,15732
02:15:00,02:13:00,35,08:55:00,29-Jan,0,1,15752
02:12:00,02:13:00,36,08:52:00,12-Feb,0,2,15752
02:10:00,02:11:00,35,08:46:00,6-Mar,0,3,15752
02:10:00,02:10:00,34,08:41:00,17-Mar,0,4,15752
02:06:00,02:10:00,32,08:43:00,29-Jan,0,1,16302
02:03:00,02:07:00,34,08:28:00,12-Feb,0,2,16302
02:00:00,02:05:00,35,08:21:00,6-Mar,0,3,16302
02:02:00,02:04:00,35,08:16:00,17-Mar,0,4,16302
02:15:00,02:07:00,34,08:31:00,29-Jan,0,1,16410
02:06:00,02:07:00,37,08:31:00,12-Feb,0,2,16410
02:06:00,02:05:00,36,08:21:00,6-Mar,0,3,16410
02:05:00,02:05:00,36,08:21:00,17-Mar,0,4,16410
01:33:00,01:32:00,35,06:11:00,18-Mar,1,2,16818
01:34:00,01:34:00,34,06:16:00,16-Feb,1,1,16818
01:40:00,01:39:00,36,06:39:00,18-Mar,1,2,17021
01:41:00,01:40:00,34,06:42:00,16-Feb,1,1,17021
01:57:00,01:55:00,36,07:40:00,29-Jan,0,1,17508
01:55:00,01:57:00,35,07:51:00,12-Feb,0,2,17508
01:55:00,01:54:00,35,07:38:00,6-Mar,0,3,17508
01:53:00,01:53:00,36,07:34:00,17-Mar,0,4,17508
01:45:00,01:44:00,37,06:59:00,18-Mar,1,2,17920
01:46:00,01:46:00,34,07:04:00,16-Feb,1,1,17920
02:00:00,01:56:00,32,07:47:00,29-Jan,0,1,17941
02:00:00,01:54:00,32,07:38:00,12-Feb,0,2,17941
02:00:00,01:54:00,34,07:37:00,6-Mar,0,3,17941
01:53:00,01:52:00,33,07:28:00,17-Mar,0,4,17941
02:00:00,02:01:00,36,08:05:00,29-Jan,0,1,18618
02:00:00,02:00:00,36,08:00:00,12-Feb,0,2,18618
01:58:00,02:00:00,36,08:02:00,6-Mar,0,3,18618
01:58:00,01:59:00,35,07:56:00,17-Mar,0,4,18618
02:03:00,02:06:00,34,08:24:00,29-Jan,0,1,19382
02:00:00,02:01:00,36,08:04:00,12-Feb,0,2,19382
02:00:00,01:59:00,36,07:57:00,6-Mar,0,3,19382
01:58:00,02:00:00,36,08:03:00,17-Mar,0,4,19382
02:00:00,01:57:00,36,07:48:00,29-Jan,0,1,19968
01:55:00,01:56:00,36,07:47:00,12-Feb,0,2,19968
01:55:00,01:56:00,36,07:45:00,6-Mar,0,3,19968
01:55:00,01:57:00,35,07:49:00,17-Mar,0,4,19968
