Goal,Split,Rate,Time,Date,Piece,ID
02:16:00,02:16:00,29,27:17:00,30-Jan,6k SS,10207
02:15:00,02:12:00,29,26:26:00,6-Feb,6k SS,10207
02:10:00,02:08:00,32,25:40:00,27-Feb,6k test,10207
02:15:00,02:13:00,28,26:46:00,30-Jan,6k SS,10459
02:13:00,02:11:00,29,26:18:00,6-Feb,6k SS,10459
02:12:00,02:08:00,32,25:45:00,27-Feb,6k test,10459
02:09:00,02:09:00,29,25:49:00,30-Jan,6k SS,10875
02:09:00,02:08:00,29,25:38:00,6-Feb,6k SS,10875
02:04:00,02:05:00,32,25:02:00,27-Feb,6k test,10875
02:30:00,02:24:00,29,28:57:00,30-Jan,6k SS,11935
02:30:00,02:24:00,29,28:50:00,6-Feb,6k SS,11935
02:23:00,02:19:00,32,27:50:00,27-Feb,6k test,11935
02:10:00,02:11:00,29,26:13:00,30-Jan,6k SS,12357
02:12:00,02:13:00,29,26:40:00,6-Feb,6k SS,12357
02:10:00,02:08:00,33,25:40:00,27-Feb,6k test,12357
02:15:00,02:15:00,29,27:05:00,30-Jan,6k SS,12641
02:14:00,02:14:00,29,26:48:00,6-Feb,6k SS,12641
02:12:00,02:10:00,32,26:08:00,27-Feb,6k test,12641
02:30:00,02:27:00,29,29:32:00,30-Jan,6k SS,15752
02:25:00,02:24:00,29,28:56:00,6-Feb,6k SS,15752
02:23:00,02:22:00,32,28:28:00,27-Feb,6k test,15752
02:17:00,02:19:00,28,27:48:00,30-Jan,6k SS,16302
02:19:00,02:16:00,29,27:12:00,6-Feb,6k SS,16302
02:14:00,02:14:00,32,26:59:00,27-Feb,6k test,16302
02:30:00,02:23:00,30,28:37:00,6-Feb,6k SS,16410
02:08:00,02:08:00,29,25:41:00,30-Jan,6k SS,17508
02:10:00,02:11:00,28,26:16:00,6-Feb,6k SS,17508
02:03:00,02:07:00,32,25:29:00,27-Feb,6k test,17508
02:10:00,02:11:00,28,26:13:00,30-Jan,6k SS,17941
02:15:00,02:08:00,29,25:39:00,6-Feb,6k SS,17941
02:05:00,02:03:00,32,24:41:00,27-Feb,6k test,17941
02:14:00,02:14:00,29,26:48:00,30-Jan,6k SS,18618
02:13:00,02:10:00,29,26:01:00,6-Feb,6k SS,18618
02:09:00,02:09:00,32,25:52:00,27-Feb,6k test,18618
02:15:00,02:14:00,29,26:56:00,30-Jan,6k SS,19382
02:12:00,02:13:00,29,26:46:00,6-Feb,6k SS,19382
02:10:00,02:10:00,33,26:10:00,27-Feb,6k test,19382
02:16:00,02:12:00,29,26:31:00,30-Jan,6k SS,19968
02:14:00,02:08:00,29,25:42:00,6-Feb,6k SS,19968
02:08:00,02:05:00,33,25:07:00,27-Feb,6k test,19968
