Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date
Natalee Rightmyer,15,13-15,89.5,82.5,40,92.5,215,1,192.15,186.21,161.94,39.67,2023-05-27
Anastasiya Zalamaeva,13.5,13-15,48.9,52.5,30,80,162.5,1,206.89,212.28,188.72,43.36,2013-12-14
Josyin Pacheco,15,13-15,40.35,65,35,70,170,1,250.65,252.65,229.35,42.16,2011-06-25
Anastasiya Goryanskaya,12.5,13-15,45.72,60,40,80,180,5,240.81,246.88,220.59,51.31,2019-03-08
G. Adylkhanova,14.5,13-15,33.6,45,30,40,115,3,170.75,185.79,176.24,NA,2016-07-04
Vanity- Jay Martinez,14,13-15,54.3,80,45,102.5,227.5,1,269.19,274.22,242.73,55.42,2024-08-03
Trinity Coddington,13.5,13-15,53.25,62.5,42.5,95,200,1,239.82,244.77,216.79,49.5,2025-05-10
Bess Slicer,15,13-15,75,59,37.5,109,205.5,1,200.15,195.36,171.85,40.77,2008-10-05
Angelina Sukhoveva,14.5,13-15,75.6,115,67.5,120,302.5,1,293.39,286.15,251.63,49.75,2021-02-21
Anastasiya Stakhanova,13.5,13-15,52,20,25,50,95,10,115.8,118.43,104.98,19.35,2014-10-06
Lillian Samaroo,14.5,13-15,58.85,65,37.5,97.5,200,1,224.45,226.36,200.05,45.83,2023-03-25
Monica Blanton,14.5,13-15,77.7,120,70,120,310,1,296.43,288.43,253.33,60.5,2021-09-04
Alyona Yugantseva,14.5,13-15,42.84,67.5,40,75,182.5,7,256.61,261.51,235.31,55.81,2018-11-22
Brooke Zak,14,13-15,55.79,70,45,110,225,1,261.45,265.52,234.88,53.65,2020-11-14
Camila Corbalan,14.5,13-15,66.3,110,47.5,110,267.5,1,279.06,276.58,244.05,56.71,2023-11-02
Yuliya Pozdnyakova,14.5,13-15,54.6,85,42.5,85,212.5,6,250.51,255.04,225.72,41.88,2015-06-06
Arabella Mcnair,14,13-15,51,75.5,40,102.5,218,1,269.35,275.86,244.72,55.98,2025-07-25
Darya Sheludyakova,14.5,13-15,56.8,75,30,82.5,187.5,10,215.31,218.17,192.93,44.1,2021-05-29
Yuliya Vasilchuk,13.5,13-15,54.36,35,30,60,125,3,147.8,150.54,133.25,30.42,2019-02-07
Gabriela Rosero Cadena,13.5,13-15,61.9,80,40,110,230,1,250.05,250.34,221.1,50.9,2024-04-04
Avery Showalter,14,13-15,67.9,137.5,57.5,132.5,327.5,1,336.96,332.84,293.58,56.77,2024-04-19
Tanisha Asnani,13,13-15,62.3,105,60,115,280,2,303.21,303.27,267.83,61.71,2025-05-20
Ekaterina Tsyganok,13.5,13-15,46.3,75,35,80,190,3,251.8,258.29,230.53,42.11,2018-03-30
Samprickta Sen,15,13-15,35.8,62.5,32.5,82.5,177.5,7,263.55,280.04,260.79,49.09,2021-03-17
Gabriela Martinez,13.5,13-15,89.1,105,45,130,280,1,250.74,242.96,211.39,51.74,2024-11-03
Viktoriya Veselova,13.5,13-15,51.9,70,37.5,82.5,190,5,231.9,237.21,210.28,48.06,2016-04-06
Chande Burton,15,13-15,58.9,105,50,110,265,3,297.24,299.72,264.89,49.77,2012-03-23
Kseniya Staver,12.5,13-15,45.2,40,30,50,120,3,161.93,165.91,148.39,27.1,2016-01-27
Maija Wallenius,14.5,13-15,54.95,75,40,85,200,1,234.77,238.84,211.35,39.25,2024-12-04
Logan Williamson,14.5,13-15,48.6,82.5,50,90,222.5,11,284.54,291.99,259.69,47.55,2018-11-17
Sienna Nagle,15,13-15,99,115,65,145,325,1,278.43,271.4,233.45,58.12,2024-10-19
Grace Labrecque,13,13-15,64.43,70,42.5,82.5,195,1,206.9,205.92,181.78,42.06,2026-01-17
Lucy Korn,12.5,13-15,44.45,75,30,85,190,1,259.67,265.71,238.06,55.79,2022-04-30
Brooke Dames,13,13-15,56,34.02,34.02,61.23,129.27,1,149.84,152.1,134.54,30.73,2024-06-01
Camille Plaisance,14,13-15,67,102.5,62.5,100,265,2,274.76,271.92,239.9,46.26,2023-07-08
Camielle Vandewalle,12.5,13-15,56.9,67.5,35,97.5,200,1,229.4,232.4,205.5,46.98,2019-06-02
Silviya Oros,13.5,13-15,86.6,77.5,47.5,95,220,1,199.57,193.33,168.62,34.19,1997-10-30
Neta Amar,14,13-15,51.2,85,35,107.5,227.5,3,280.32,287.02,254.57,58.22,2023-12-11
Nadya Churkina,14.5,13-15,64.8,70,45,72.5,187.5,1,198.27,197.16,174.03,40.3,2012-12-15
Maruša Al Hiasat,14.5,13-15,62.4,85,55,100,240,6,259.64,259.63,229.28,52.83,2023-04-02
Keynar Vaknin,15,13-15,65.9,80,37.5,100,217.5,3,227.71,225.88,199.34,46.27,2023-08-04
Peyton Dressel,15,13-15,70.8,115,60,100,275,2,276.34,271.46,239.22,56.18,2023-06-11
Valerie Leblanc #2,14.5,13-15,66.3,127.5,55,170,352.5,2,367.73,364.47,321.6,61.87,2016-04-01
Rithika Jutla,14,13-15,51.8,57.5,37.5,80,175,1,213.88,218.81,193.99,44.34,2019-10-25
Daria Masłowska,13.5,13-15,45.85,70,50,100,220,1,293.69,301.15,269,62.53,2024-06-14
Kelly Cooly-Hennigan,15,13-15,60,90,56,110,256,1,283.79,285.41,252.18,57.87,2013-12-07
Andrea Carmona Perez,14.5,13-15,51.85,132.5,62.5,147.5,342.5,3,418.31,427.93,379.36,86.7,2025-11-28
Arina Kudashova,13.5,13-15,53.8,65,37.5,70,172.5,1,205.4,209.43,185.43,42.33,2016-10-08
Alina Balykova,12.5,13-15,35.56,47.5,25,55,127.5,4,189.31,201.72,188.19,49.68,2020-02-28
Eva Schmidt,13.5,13-15,60.72,65,45,90,200,1,220.05,220.93,195.17,44.84,2021-11-13
Kaelyn Knezovich,14.5,13-15,59.9,82.5,42.5,90,215,4,238.59,240.01,212.07,39.97,2017-12-16
Erica Humphries,14.5,13-15,85.1,45,40,92.5,177.5,1,162.33,157.28,137.36,33.35,2014-02-22
Angelina Tveritneva,14.5,13-15,46.3,65,30,75,170,3,225.29,231.1,206.26,47.84,2021-05-29
Kawehionalani Souza,13.5,13-15,70,62.5,52.5,75,190,1,192.14,189.02,166.62,39.05,2019-09-29
Jolene Schroeder,14,13-15,67.5,77.11,52.16,97.52,226.8,1,234.15,231.48,204.19,47.58,2003-06-14
Lirida Islamova,13.5,13-15,68.65,70,30,90,190,1,194.26,191.6,168.97,32.75,2013-11-23
Maya Rodriguez,13.5,13-15,47.85,60,30,80,170,1,219.88,225.67,200.91,46.3,2025-01-04
Mariya Olkova,13.5,13-15,46.52,55,35,55,145,1,191.48,196.45,175.27,40.61,2018-11-23
Savannah Piceno,14.5,13-15,51.5,70,42.5,87.5,200,1,245.43,251.19,222.74,50.92,2018-07-29
Chloé Wyss,14,13-15,49.1,62.5,35,70,167.5,1,212.63,218.14,193.89,44.52,2015-10-30
Viktoriya Salatyan,13.5,13-15,43,67.5,25,72.5,165,3,231.34,235.87,212.13,38.78,2014-02-03
Alyssa Jayde Brewton,14.5,13-15,72.3,92.5,52.5,130,275,24,273.17,267.67,235.75,55.57,2024-04-04
Nagima Askar,14.5,13-15,46.6,60,45,75,180,2,237.4,243.57,217.27,39.7,2018-04-01
Kalani Vazquez,14.5,13-15,75.25,92.5,52.5,127.5,272.5,3,264.94,258.51,227.37,53.98,2025-03-20
Darya Bragina,13.5,13-15,54.76,40,32.5,55,127.5,17,150.01,152.67,135.11,30.85,2018-04-29
Ava Finley,15,13-15,55.78,110,55,110,275,4,319.59,324.57,287.12,53.44,2025-05-28
Marians Eunice Ardiano Lopez,15,13-15,53.5,29.48,27.22,52.16,108.86,5,130.12,132.75,117.55,26.84,2023-02-18
Fiona Almanzar,14,13-15,58.2,62.5,37.5,92.5,192.5,1,217.58,219.76,194.26,44.46,2024-11-09
Karina Yamaguti,14.5,13-15,58.6,125,53,110,288,1,324.09,327.04,289.05,54.26,2015-09-18
Scarlett Campbell,15,13-15,73.6,55,32.5,85,172.5,3,169.71,165.96,146.09,34.54,2024-11-23
Angelina Herrera,15,13-15,46.8,50,27.5,67.5,145,1,190.63,195.61,174.43,40.37,2020-10-25
Valeriya Kalinka,14.5,13-15,51.4,100,55,127.5,282.5,1,347.14,355.34,315.12,72.05,2019-12-02
Karley Corless,13.5,13-15,58.35,80,42.5,87.5,210,1,236.97,239.26,211.48,48.42,2026-02-14
Colbi Giglio,13.5,13-15,54.3,22.7,25,38.6,86.2,3,102,103.9,91.97,21,2017-12-02
Zanyah Walker,15,13-15,67.6,145,62.5,147.5,355,1,366.19,361.94,319.27,61.67,2025-04-24
Ellie Reid,15,13-15,81.5,70,47.5,82.5,200,1,186.73,181.16,158.7,38.23,2023-03-18
Sofiya Fedak,14,13-15,42.91,70,30,85,185,5,259.8,264.81,238.23,56.47,2018-03-13
Rachel Wells,15,13-15,59.87,83.5,42.5,105,231,1,256.43,257.97,227.94,52.29,2009-08-01
Kaylee Fehr,12.5,13-15,46.79,50,31,72.5,153.5,1,201.84,207.11,184.69,42.74,2026-01-17
Darya Kuznetsova,13.5,13-15,58.5,130,55,122.5,307.5,4,346.42,349.65,309.04,58,2021-02-21
Maddison Luna,12.5,13-15,57.9,77.5,37.5,85,200,4,226.82,229.25,202.66,46.37,2019-02-02
Tatyana Saktarova,13.5,13-15,51.75,87.5,37.5,105,230,3,281.29,287.8,255.15,47,2014-05-09
Kendal Schifone,14.5,13-15,55.2,67.5,47.5,110,225,1,263.31,267.74,236.9,54.09,2024-08-24
Morgan Merchlewitz,13.5,13-15,70.65,117.5,60,142.5,320,1,321.94,316.34,278.79,65.45,2023-02-12
Lola Le Glevic,15,13-15,70.1,70,32.5,80,182.5,3,184.41,181.38,159.88,37.48,2018-12-15
Liz Trejo,15,13-15,55.1,110,60,117.5,287.5,1,336.86,342.6,303.15,56.32,2013-02-23
Patricia Kerwin,14.5,13-15,79.3,115,55,117.5,287.5,3,272.09,264.37,231.96,46.3,2019-03-02
Amanda Stofle,15,13-15,88.5,120,82.5,132.5,335,2,300.9,291.54,253.8,51.65,2005-04-01
Ramina Gochiyaeva,14.5,13-15,49.7,47.5,30,80,157.5,1,198.2,203.25,180.54,41.4,2021-03-12
Kamorean Hayes,13,13-15,65.8,67.5,72.5,140,280,3,293.4,291.11,256.91,49.35,2003-03-21
Ella Lanclos,14.5,13-15,62.95,72.5,42.5,80,195,2,209.83,209.55,185.04,35.22,2022-11-19
Emma Pollard,14,13-15,71.85,107.5,62.5,117.5,287.5,2,286.56,281,247.53,58.28,2024-02-24
Morgane Fonteneau,14.5,13-15,60.84,50,35,55,140,1,153.85,154.42,136.41,31.34,2017-04-29
L. Tuleutaeva,14.5,13-15,65.8,80,40,100,220,1,230.53,228.73,201.86,38.77,2013-07-05
Aaliya Igbokwe,13.5,13-15,91.15,70,45,142,257,2,227.85,220.92,191.79,47.13,2021-12-19
Hailey Billesbach,14.5,13-15,54.9,50,35,62.5,147.5,1,173.25,176.27,155.99,35.61,2023-04-22
Yuliya Tursinova,13.5,13-15,56.6,75,40,97.5,212.5,3,244.59,247.95,219.27,50.11,2015-10-24
Dulce Nahomy Castillo Ruano,14,13-15,113.65,120.2,54.43,124.74,299.37,1,244.15,241.81,205.52,51.83,2023-03-18
Tyana Modicue,14.5,13-15,52.6,83.9,29.5,104.3,217.7,4,263.26,268.99,238.34,43.99,2016-05-14
Lauren Brown #9,14,13-15,49.2,75,30,75,180,1,228.16,234.06,208.02,47.75,2024-02-17
Barbara Manno,13.5,13-15,47.8,32.5,25,55,112.5,4,145.62,149.45,133.07,30.67,2019-02-02
Allegra Faatoe,14,13-15,106.6,90,40,90,220,3,183.33,180.13,153.49,38.61,2024-06-09
Barbara Muñoz,14,13-15,71.7,152.5,65,155,372.5,1,371.71,364.59,321.18,75.59,2023-02-04
Brylee Colwell,13.5,13-15,55.35,65,45,75,185,1,216.11,219.67,194.36,44.38,2022-03-05
Alena Chuvyakina,14.5,13-15,42,40,27.5,55,122.5,2,174.94,177.74,160.36,38.32,2015-02-21
Marina Minkova,13.5,13-15,63.15,47.5,45,90,182.5,5,196,195.64,172.75,39.87,2011-11-17
Samantha Snyder,13,13-15,52,56.7,38.56,79.38,174.63,1,212.86,217.7,192.97,44.1,2006-06-01
Ayalla Smith,14.5,13-15,81.25,165,62.5,162.5,390,1,364.67,353.84,310.03,74.65,2025-07-02
Sophia Darawal,13.5,13-15,71.2,102.5,52.5,112.5,267.5,4,267.96,263.05,231.78,54.48,2018-10-11
Valeriya Zhurba,14.5,13-15,79.25,95,47.5,110,252.5,3,239.04,232.27,203.8,48.85,2019-04-04
J Supriya,14,13-15,81.3,120,37.5,127.5,285,4,266.41,258.49,226.47,45.42,2018-03-16
Alena Makova,14.5,13-15,62,92.5,42.5,95,230,2,249.8,250.03,220.83,41.9,2018-03-04
Itzel Rivera,15,13-15,67.75,70,32.5,80,182.5,1,188.01,185.77,163.87,38.2,2023-12-09
Brooklyn Bass #2,13,13-15,82.1,92.5,42.5,95,230,1,213.97,207.52,181.71,43.83,2026-02-21
Emmi-Sofia Grönholm,13.5,13-15,49.15,77.5,40,82.5,200,1,253.7,260.27,231.32,53.11,2023-04-15
Adelina Khafizulina,12.5,13-15,45,57.5,37.5,77.5,172.5,2,233.55,239.22,214.06,49.99,2018-04-14
Daisy Helwig,15,13-15,60.7,102.5,47.5,120,270,3,297.13,298.33,263.55,60.55,2025-04-10
