Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date
Kevin Hatfield,14.5,13-15,82.5,151.95,72.57,170.1,394.63,1,267.32,264.37,254.37,45.73,2004-04-24
Kelaka Perkins,14,13-15,64.59,110,92.5,157.5,360,1,286.67,287.8,279.95,56.76,2017-04-07
Lee Longhurst,13.5,13-15,49.5,85,60,90,235,1,236.11,243.09,240.06,42.74,2021-02-25
Morgan Timiney,14,13-15,52,97.52,49.9,117.93,265.35,1,254.15,260.38,256.43,42.81,2007-04-21
Steve Searles,15,13-15,59.3,145,87.5,147.5,380,13,323.86,327.6,320.12,55.11,2010-03-26
Til Schindler,14.5,13-15,118.28,125,60,170,355,3,204.87,204.8,196.21,41.53,2024-11-09
Leonid Ragulin,14.5,13-15,43,80,40,92.5,212.5,1,248.03,258.88,256.9,40.74,2012-04-14
Nikolay Efremenko,13.5,13-15,63.5,117.5,80,137.5,335,1,270.27,271.72,264.53,53.3,2019-02-07
Cale Schafer,15,13-15,59.8,135,67.5,145,347.5,10,294.11,297.28,290.35,50.07,2008-04-04
Shawn Schiessl,14.5,13-15,52,57.61,34.93,79.83,172.37,1,165.09,169.14,166.57,27.81,2006-01-14
Cameron Wenzel #2,13.5,13-15,57.7,47.5,42.5,80,170,1,148.26,150.36,147.16,28.47,2026-01-31
Callum Bachorick,14,13-15,73.19,165,80,200,445,1,324.35,322.62,312.06,65.7,2025-09-14
Ian Fullmer,15,13-15,95.55,202.5,135,215,552.5,1,347.07,342.78,327.76,71.34,2026-01-24
Danil Romanov,13.5,13-15,53,105,50,110,265,2,249.31,254.95,250.79,42.07,2015-04-18
Robert Campbell #2,14.5,13-15,66,110,85,137.5,332.5,1,260.52,261.08,253.69,51.83,2016-04-30
Ruben González #2,13,13-15,56,107.5,62.5,115,285,1,255.09,259.45,254.38,48.5,2001-10-26
Martin Kostadinov,15,13-15,63.3,130,100,180,410,1,331.58,333.45,324.69,56.6,2025-04-11
Shourya Chaudhary,15,13-15,82.4,197.5,107.5,212.5,517.5,9,350.79,346.93,333.83,71.9,2025-05-20
Ronit Arora,15,13-15,59.05,90,85,105,280,1,239.47,242.34,236.86,46.31,2025-11-15
Liam Kearney,13,13-15,88.3,100,50,80,230,4,150.17,148.29,142.24,30.87,2025-12-20
Lukas Pendleton,15,13-15,103.3,170,150,220,540,2,327.85,324.57,309.92,67.18,2026-02-07
Danil Pustovoy,14,13-15,80.7,115,70,137.5,322.5,1,221.25,218.97,210.9,45.28,2017-11-18
Griffin Grummet,14.5,13-15,60.6,92.5,52.5,110,255,1,213.49,215.53,210.35,41.6,2023-04-08
Emmett Baker,14.5,13-15,64.3,85,45,107.5,237.5,21,189.77,190.59,185.43,37.54,2025-03-20
Aleksey Klyukhin,14.5,13-15,71.65,120,62.5,140,322.5,15,238.42,237.47,229.91,40.82,2015-11-27
Vadim Shevchenko,13.5,13-15,57.7,127.5,55,130,312.5,2,272.54,276.4,270.52,46.3,2021-04-16
Aaqil Khan,14,13-15,48.35,52.5,40,70,162.5,2,167.17,172.52,170.57,29.93,2025-11-29
Vladislav Larikov,13.5,13-15,58,80,62.5,82.5,225,7,195.36,198.03,193.76,37.57,2018-11-27
Ali Dere,15,13-15,81.4,120,87.5,155,362.5,10,247.45,244.82,235.71,50.68,2022-02-14
Nikita Khatulev,12.5,13-15,37.7,35,30,65,130,10,165.24,173.6,172.17,27.35,2014-02-22
Yuriy Kalyushik,15,13-15,69,115,70,160,345,12,261.77,261.43,253.51,44.8,2010-03-21
Luca Morente,15,13-15,74.55,142.5,92.5,160,395,1,284.48,282.65,273.18,57.77,2024-07-13
Carter Seaton,13,13-15,99.6,90,65,137.5,292.5,2,180.35,178.3,170.31,37.02,2025-12-13
Artem Khrab,13.5,13-15,45.6,62.5,42.5,95,200,3,218.75,227.05,225.03,38.01,2015-11-21
Blake Williamson #3,15,13-15,72.65,142.5,95,140,377.5,9,276.5,275.16,266.23,55.95,2024-04-19
Dmitriy Ivanov #49,13.5,13-15,61.9,65,50,90,205,14,168.73,170.01,165.74,28.77,2017-12-15
Luke VandenLangenberg,15,13-15,51.66,90.72,47.63,111.13,249.48,14,240.44,246.5,242.85,40.47,2007-03-09
Andrew Field,15,13-15,79.2,170,90,182.5,442.5,1,306.95,304.03,293.07,62.73,2023-04-08
Petr Frolov,12.5,13-15,82,195,115,225,535,8,363.66,359.71,346.21,62.22,2000-12-23
Erich Hoffman,14.5,13-15,61.6,102.5,82.5,112.5,297.5,1,245.81,247.79,241.62,48.11,2022-12-17
Yuriy Galiulin,14.5,13-15,51.3,77.5,50,90,217.5,5,211.03,216.5,213.38,35.5,2010-12-18
Jase Lazarus,15,13-15,54.65,107.5,52.5,110,270,1,246.98,251.8,247.24,41.79,2025-05-10
Ivan Sas,13.5,13-15,66.2,112.5,80,120,312.5,2,244.3,244.77,237.81,48.64,2019-12-07
Mikhail Molodtsov,14.5,13-15,89.7,195,107.5,215,517.5,5,335.18,330.93,317.21,57.21,2004-11-13
Devin Corbett,14.5,13-15,65.7,120,75,150,345,1,271.23,271.91,264.28,53.91,2024-11-23
Singh Soram Sunil,14.5,13-15,73.2,170,90,212.5,472.5,3,344.36,342.53,331.31,69.76,2017-12-04
Cody Hanson Jr,15,13-15,58.25,65,45,105,215,1,186,188.47,184.35,35.82,2022-11-12
Samuel Brinker,13.5,13-15,74.9,100,60,140,300,1,215.41,213.97,206.76,43.77,2025-11-15
Aleksey Lavrentyev,13.5,13-15,54,110,65,120,295,1,272.8,278.45,273.6,46.11,1995-11-04
Kenith Sherrer,15,13-15,73.7,115,70,125,310,1,224.93,223.63,216.24,45.61,2023-03-04
Pavlo Gordiyuk,15,13-15,64.1,110,80,155,345,5,276.33,277.59,270.12,47.19,2011-03-05
Oleg Smirnov #5,13.5,13-15,48,77.5,52.5,105,235,2,243.56,251.53,248.77,40.66,2015-04-24
Charles Cary,14.5,13-15,82.5,120.2,113.4,210.92,444.52,1,301.11,297.79,286.53,61.72,2000-07-08
Mikhail Bogatikov,12.5,13-15,101.1,125,62.5,125,312.5,2,191.45,189.37,180.84,32.51,2011-04-15
Sergey Mikhalyov,14.5,13-15,49.7,85,57.5,100,242.5,8,242.67,249.75,246.58,40.68,2013-12-11
Joshua Hendrix,15,13-15,46.8,92.5,80,75,247.5,1,263.34,272.63,269.94,46.39,2008-07-25
Hudson Harmon,14,13-15,94.71,125,75,135,335,2,211.31,208.67,199.58,43.44,2023-06-10
Qwyn McCollom,14.5,13-15,61.7,77.5,55,105,237.5,1,195.98,197.53,192.6,38.37,2016-11-05
Anton Lugovoy,14.5,13-15,59.3,95,62.5,122.5,280,13,238.63,241.39,235.88,40.61,2003-05-02
Caden Christie,13,13-15,74.84,67.5,42.5,102.5,212.5,5,152.66,151.64,146.54,31.02,2023-04-23
Maksim Semenko,14.5,13-15,62,75,47.5,75,197.5,17,162.35,163.56,159.43,31.83,2019-04-05
Adrian Prodan,14,13-15,45.2,85,57.5,112.5,255,1,281.58,292.51,289.98,48.7,2014-10-31
Vladislav Komolov,13.5,13-15,51.65,85,52.5,100,237.5,2,228.94,234.71,231.24,38.54,2010-05-08
Robert Marchant,14,13-15,70.4,92.5,62.5,137.5,292.5,1,218.85,218.25,211.45,44.07,2017-08-12
